"ID","Address","Latitude","Longitude","DateOfSale","SalePrice","SalePriceUnit","IsAStudio","Beds","Baths","Size","SizeUnit","LotSize","LotSizeUnit","BuiltInYear"
15066281,"1807 Jones St, San Francisco, CA",37797920,-122415745,"12/15/15","1.7","$M",False,"2.0","2.0","1467.0","sqft","3023.0","sqft","1922.0"
15066344,"999 Green St APT 905, San Francisco, CA",37798451,-122415218,"12/10/15","1.28","$M",False,"1.0","1.0","986.0","sqft","","","1964.0"
15066608,"455 Vallejo St APT 111, San Francisco, CA",37798796,-122404766,"12/16/15","875000.0","$",False,"1.0","1.0","825.0","sqft","","","1973.0"
15066839,"1163-1165 Vallejo St, San Francisco, CA",37797445,-122416366,"12/1/15","300000.0","$",False,"","2.0","2344.0","sqft","1376.0","sqft","1913.0"
15066959,"1300 Pacific Ave, San Francisco, CA",37795805,-122416840,"1/14/16","425000.0","$",True,"","2.0","989.0","sqft","","","1910.0"
15067302,"948 Jackson St, San Francisco, CA",37795662,-122410789,"11/13/15","1.95","$M",False,"","4.0","4362.0","sqft","1459.0","sqft","1908.0"
15067583,"946 Stockton St APT 6B, San Francisco, CA",37794715,-122407810,"12/18/15","775000.0","$",False,"","2.0","710.0","sqft","","","1970.0"
15067604,"946 Stockton St APT 9E, San Francisco, CA",37794715,-122407810,"12/2/15","705000.0","$",False,"2.0","2.0","744.0","sqft","","","1970.0"
15067755,"1250 Clay St APT 306, San Francisco, CA",37793575,-122413670,"1/10/16","695000.0","$",False,"1.0","1.0","541.0","sqft","","","1950.0"
15067890,"1250 Jones St APT 503, San Francisco, CA",37793071,-122414049,"12/4/15","1.41","$M",False,"1.0","1.0","1250.0","sqft","","","1929.0"
15067896,"1250 Jones St APT 802, San Francisco, CA",37793071,-122414049,"12/15/15","1.68","$M",False,"1.0","1.0","1115.0","sqft","","","1929.0"
15068039,"1170 Sacramento St APT 9B, San Francisco, CA",37792930,-122412195,"12/3/15","3.8","$M",False,"2.0","2.0","1961.0","sqft","","","1963.0"
15068514,"1177 California St APT 702, San Francisco, CA",37791089,-122413658,"12/18/15","665000.0","$",False,"1.0","1.0","511.0","sqft","","","1978.0"
15068551,"1177 California St APT 501, San Francisco, CA",37791089,-122413658,"12/15/15","900000.0","$",False,"1.0","1.0","884.0","sqft","","","1978.0"
15068580,"1177 California St APT 423, San Francisco, CA",37791089,-122413658,"12/29/15","738000.0","$",True,"","1.0","706.0","sqft","","","1978.0"
15068592,"1177 California St APT 304, San Francisco, CA",37791089,-122413658,"12/1/15","790000.0","$",False,"1.0","1.0","645.0","sqft","","","1977.0"
15068767,"767-771 Pine St, San Francisco, CA",37790971,-122408473,"12/31/15","2.49","$M",False,"","4.0","4605.0","sqft","1376.0","sqft","1909.0"
15068857,"1001 Pine St APT 608, San Francisco, CA",37790348,-122412568,"12/7/15","535000.0","$",True,"","1.0","450.0","sqft","","","1964.0"
15068874,"1001 Pine St APT 801, San Francisco, CA",37790348,-122412568,"12/24/15","650000.0","$",False,"","1.0","650.0","sqft","","","1963.0"
15069276,"795 Sutter St # 303, San Francisco, CA",37788404,-122413260,"11/15/15","1.2","$M",False,"3.0","2.0","1753.0","sqft","","","1913.0"
15069477,"631 Ofarrell St APT 816, San Francisco, CA",37785240,-122415125,"12/18/15","485000.0","$",True,"","1.0","480.0","sqft","","","1930.0"
15069628,"47-49 Casa Way, San Francisco, CA",37805371,-122439029,"11/25/15","3.8","$M",False,"3.0","","3905.0","sqft","2748.0","sqft","1939.0"
15069883,"59 Rico Way, San Francisco, CA",37804909,-122439650,"12/21/15","2.55","$M",False,"3.0","1.5","1675.0","sqft","2613.0","sqft","1925.0"
15070227,"134 Alhambra St, San Francisco, CA",37802318,-122438801,"1/18/16","3.08","$M",False,"3.0","3.0","2599.0","sqft","3005.0","sqft","1925.0"
15070235,"180 Alhambra St, San Francisco, CA",37801939,-122439299,"12/7/15","3.33","$M",False,"","2.0","2864.0","sqft","2286.0","sqft","1925.0"
15070255,"146 Avila St, San Francisco, CA",37801998,-122440411,"12/23/15","3.02","$M",False,"3.0","3.0","2100.0","sqft","2495.0","sqft","1924.0"
15070544,"1051-1053 Francisco St, San Francisco, CA",37803239,-122422458,"12/1/15","9.71","$M",False,"5.0","6.0","4650.0","sqft","4726.0","sqft","1953.0"
15070728,"3315 Pierce St, San Francisco, CA",37800650,-122439786,"1/6/16","2.5","$M",False,"3.0","3.5","2255.0","sqft","2500.0","sqft","1925.0"
15070807,"1763-1765 Chestnut St, San Francisco, CA",37801061,-122432273,"12/1/15","1.38","$M",False,"","3.0","3260.0","sqft","3000.0","sqft","1920.0"
15071012,"2701 Van Ness Ave APT 207, San Francisco, CA",37800573,-122424849,"11/30/15","885000.0","$",False,"","1.0","885.0","sqft","","","1929.0"
15071070,"2701 Van Ness Ave APT 702, San Francisco, CA",37800573,-122424849,"12/2/15","718000.0","$",False,"","1.0","793.0","sqft","","","1929.0"
15071199,"2374-2376 Greenwich St, San Francisco, CA",37798820,-122438743,"11/23/15","6.0","$M",False,"4.0","5.0","4178.0","sqft","2495.0","sqft","1938.0"
15071224,"3126 Scott St APT 2, San Francisco, CA",37798778,-122440578,"12/7/15","1.35","$M",False,"2.0","2.0","1367.0","sqft","","","1970.0"
15071286,"3038 Pierce St, San Francisco, CA",37798140,-122438775,"12/7/15","1.15","$M",False,"2.0","2.0","1150.0","sqft","","","1906.0"
15071577,"1374 Union St, San Francisco, CA",37798870,-122421845,"12/2/15","3.0","$M",False,"3.0","3.5","3105.0","sqft","","","1907.0"
15072128,"1438 Green St UNIT 5A, San Francisco, CA",37798116,-122422880,"12/18/15","1.28","$M",False,"2.0","2.0","1206.0","sqft","","","1998.0"
15072153,"1353 Green St, San Francisco, CA",37797685,-122421335,"11/24/15","2.3","$M",False,"2.0","2.0","1764.0","sqft","","","1941.0"
15072263,"1795 Green St, San Francisco, CA",37796780,-122428519,"11/20/15","2.5","$M",False,"3.0","2.0","1647.0","sqft","","","1908.0"
15072504,"2660 Scott St, San Francisco, CA",37794473,-122439703,"12/8/15","13.1","$M",False,"7.0","8.0","9190.0","sqft","5623.0","sqft","1908.0"
15072510,"2535 Vallejo St, San Francisco, CA",37794444,-122438979,"11/23/15","5.6","$M",False,"","4.0","4065.0","sqft","3781.0","sqft","1908.0"
15072951,"1770 Pacific Ave APT 103, San Francisco, CA",37794927,-122424508,"11/25/15","1.76","$M",False,"2.0","2.0","1500.0","sqft","","","1902.0"
15072997,"1896 Pacific Ave APT 802, San Francisco, CA",37794706,-122426347,"12/15/15","250000.0","$",False,"2.0","2.5","2272.0","sqft","","","1924.0"
15073090,"2002 Pacific Ave APT 4, San Francisco, CA",37794429,-122428513,"1/20/16","4.2","$M",False,"3.0","3.5","3291.0","sqft","","","1961.0"
15073657,"1895 Pacific Ave APT 506, San Francisco, CA",37794168,-122426243,"11/20/15","975000.0","$",False,"1.0","1.0","1165.0","sqft","","","1931.0"
15074158,"1945 Washington St APT 411, San Francisco, CA",37792472,-122425281,"12/16/15","665000.0","$",False,"1.0","1.0","653.0","sqft","","","1987.0"
15074306,"1950 Gough St APT 306, San Francisco, CA",37791558,-122425677,"12/21/15","1.15","$M",False,"1.0","1.0","1000.0","sqft","","","1926.0"
15074558,"2684-2686 Sacramento St, San Francisco, CA",37789686,-122437098,"12/8/15","2.71","$M",False,"","","2840.0","sqft","2674.0","sqft","1900.0"
15074647,"2619-2621 Sacramento St, San Francisco, CA",37789373,-122436057,"12/3/15","2.9","$M",False,"7.0","5.0","2930.0","sqft","2038.0","sqft","1900.0"
15075139,"2215 California St, San Francisco, CA",37788944,-122431099,"12/11/15","5.05","$M",False,"5.0","6.0","3485.0","sqft","3454.0","sqft","1900.0"
15075278,"2440 Bush St # C, San Francisco, CA",37786788,-122437531,"11/16/15","2.0","$M",False,"3.0","2.5","1810.0","sqft","","","1985.0"
15075410,"2015 Pine St # A, San Francisco, CA",37788219,-122429286,"12/1/15","795000.0","$",False,"1.0","1.0","708.0","sqft","","","1900.0"
15075714,"1880 Steiner St APT 101, San Francisco, CA",37786575,-122434720,"12/22/15","1.35","$M",False,"2.0","3.0","1332.0","sqft","","","1999.0"
15076120,"2075 Sutter St APT 507, San Francisco, CA",37785647,-122434462,"12/4/15","1.31","$M",False,"2.0","2.0","1084.0","sqft","","","1992.0"
15076156,"1533 Sutter St, San Francisco, CA",37786658,-122426481,"11/12/15","5.53","$M",False,"6.0","7.5","7375.0","sqft","2748.0","sqft","1890.0"
15076294,"1450 Post St APT 1006, San Francisco, CA",37786361,-122425831,"11/16/15","170000.0","$",False,"","","545.0","sqft","","","1992.0"
15076310,"1450 Post St APT 1108, San Francisco, CA",37786361,-122425831,"11/24/15","399000.0","$",False,"1.0","1.0","595.0","sqft","","","1992.0"
15076450,"1483 Sutter St APT 1102, San Francisco, CA",37786750,-122424235,"11/19/15","690000.0","$",False,"1.0","1.0","650.0","sqft","","","1993.0"
15076699,"1 Daniel Burnham Ct APT 1202, San Francisco, CA",37786755,-122422500,"12/1/15","795000.0","$",False,"1.0","1.0","772.0","sqft","","","1988.0"
15076711,"1 Daniel Burnham Ct APT 1404, San Francisco, CA",37786755,-122422500,"12/11/15","975000.0","$",False,"2.0","2.0","1009.0","sqft","","","1988.0"
15076978,"66 Cleary Ct APT 1408, San Francisco, CA",37784298,-122427058,"12/21/15","895000.0","$",False,"2.0","2.0","1106.0","sqft","","","1963.0"
15077111,"1200 Gough St APT 22B, San Francisco, CA",37784820,-122423994,"1/29/16","650000.0","$",True,"","1.0","550.0","sqft","","","1966.0"
15077403,"1310 Scott St # 40, San Francisco, CA",37782280,-122436820,"12/23/15","958000.0","$",False,"3.0","2.0","1270.0","sqft","","","1986.0"
15077572,"601 Van Ness Ave APT 48, San Francisco, CA",37781386,-122421406,"11/30/15","830000.0","$",False,"2.0","2.0","1090.0","sqft","","","1982.0"
15077602,"601 Van Ness Ave APT 78, San Francisco, CA",37781386,-122421406,"12/18/15","810000.0","$",False,"2.0","2.0","952.0","sqft","","","1982.0"
15077705,"601 Van Ness Ave APT 605, San Francisco, CA",37781386,-122421406,"12/1/15","825000.0","$",False,"2.0","2.0","1072.0","sqft","","","1982.0"
15077725,"601 Van Ness Ave APT 201, San Francisco, CA",37781386,-122421406,"1/5/16","555000.0","$",False,"1.0","1.0","750.0","sqft","","","1982.0"
15077902,"601 Van Ness Ave APT 944, San Francisco, CA",37781386,-122421406,"12/10/15","600000.0","$",False,"1.0","1.0","894.0","sqft","","","1982.0"
15077929,"601 Van Ness Ave APT 405, San Francisco, CA",37781386,-122421406,"12/4/15","825000.0","$",False,"2.0","2.0","881.0","sqft","","","1982.0"
15078419,"301 Gough St APT 3, San Francisco, CA",37776184,-122423007,"12/4/15","810000.0","$",False,"1.0","1.0","626.0","sqft","","","1999.0"
15078423,"301 Gough St # G, San Francisco, CA",37776184,-122423007,"11/10/15","1.15","$M",False,"","","936.0","sqft","","",""
15078434,"412-414 Linden St, San Francisco, CA",37776282,-122424850,"12/16/15","835000.0","$",False,"4.0","2.0","2200.0","sqft","1297.0","sqft","1909.0"
15078460,"622-626 Buchanan St, San Francisco, CA",37775745,-122427543,"11/12/15","1.25","$M",False,"","","2785.0","sqft","1637.0","sqft","1900.0"
15078536,"640 Steiner St, San Francisco, CA",37775399,-122432491,"12/15/15","1.5","$M",False,"2.0","2.0","1593.0","sqft","","","1895.0"
15078815,"545-547 Oak St, San Francisco, CA",37774030,-122428306,"12/23/15","1.77","$M",False,"5.0","3.0","2610.0","sqft","3297.0","sqft","1900.0"
15078866,"753-755 Oak St, San Francisco, CA",37773576,-122431663,"11/10/15","375000.0","$",False,"","2.0","2430.0","sqft","3781.0","sqft","1890.0"
15078940,"706 Haight St, San Francisco, CA",37771865,-122434050,"11/10/15","1.68","$M",False,"2.0","2.0","1463.0","sqft","","","1997.0"
15078953,"789-793 Page St, San Francisco, CA",37772439,-122433608,"11/25/15","1.7","$M",False,"6.0","3.0","3825.0","sqft","2247.0","sqft","1911.0"
15079164,"544 Waller St # 1, San Francisco, CA",37771145,-122432750,"12/15/15","1.9","$M",False,"3.0","3.0","860.0","sqft","","","1983.0"
15079269,"591-595 Waller St, San Francisco, CA",37770560,-122433330,"12/2/15","1.23","$M",False,"","7.0","7240.0","sqft","2696.0","sqft","1900.0"
15079279,"101-105 Steiner St, San Francisco, CA",37769994,-122431983,"12/9/15","2.7","$M",False,"","3.0","6726.0","sqft","2735.0","sqft","1900.0"
15079314,"457-461 Waller St, San Francisco, CA",37770797,-122431159,"12/22/15","1.55","$M",True,"","","3750.0","sqft","3000.0","sqft","1900.0"
15079585,"3835 Scott St APT 105, San Francisco, CA",37805235,-122442515,"12/22/15","1.12","$M",False,"1.0","1.0","1118.0","sqft","","","1928.0"
15079836,"2146 Bay St, San Francisco, CA",37802227,-122442439,"11/25/15","7.1","$M",False,"2.0","4.5","1500.0","sqft","3436.0","sqft","1925.0"
15080238,"2646-2648 Greenwich St, San Francisco, CA",37798286,-122443351,"12/4/15","5.15","$M",False,"","2.0","2692.0","sqft","3436.0","sqft","1911.0"
15080315,"2953 Broderick St, San Francisco, CA",37797633,-122444344,"12/18/15","3.0","$M",False,"2.0","2.5","1876.0","sqft","1637.0","sqft","1923.0"
15080609,"2769 Union St, San Francisco, CA",37795620,-122444820,"12/1/15","3.13","$M",False,"3.0","2.0","2800.0","sqft","","","1984.0"
15080826,"2780 Broadway St, San Francisco, CA",37793580,-122442803,"11/25/15","17.1","$M",False,"5.0","6.0","6800.0","sqft","3460.0","sqft","1962.0"
15080894,"2950 Pacific Ave, San Francisco, CA",37792769,-122444342,"11/25/15","16.0","$M",False,"7.0","6.5","11500.0","sqft","0.28","ac","1907.0"
15081067,"46 Presidio Ave, San Francisco, CA",37791250,-122447325,"11/25/15","3.9","$M",False,"4.0","3.5","2750.0","sqft","2705.0","sqft","1916.0"
15081147,"2955 Pacific Ave, San Francisco, CA",37791900,-122443975,"11/16/15","3.65","$M",False,"3.0","2.0","2160.0","sqft","","","1995.0"
15081160,"2820 Jackson St, San Francisco, CA",37791799,-122441680,"12/14/15","4.0","$M",False,"5.0","3.5","3212.0","sqft","3000.0","sqft","1900.0"
15081273,"2801 Jackson St # 12, San Francisco, CA",37791415,-122441445,"12/24/15","1.42","$M",False,"2.0","1.0","1330.0","sqft","","","1906.0"
15081334,"2947 Jackson St, San Francisco, CA",37791050,-122443590,"11/30/15","1.87","$M",False,"3.0","2.0","2100.0","sqft","","","1939.0"
15081395,"3100 Washington St #6, San Francisco, CA",37790530,-122444565,"12/22/15","825000.0","$",False,"1.0","1.0","808.0","sqft","","","1964.0"
15081736,"3515 Washington St, San Francisco, CA",37789217,-122450906,"12/2/15","3.8","$M",False,"2.0","3.0","2760.0","sqft","4464.0","sqft","1941.0"
15081960,"2921 Washington St APT 5, San Francisco, CA",37790535,-122441409,"11/23/15","1.0","$M",False,"1.0","1.0","1070.0","sqft","","","1916.0"
15082108,"3016 Sacramento St, San Francisco, CA",37788970,-122442995,"12/22/15","1.85","$M",False,"2.0","1.5","1408.0","sqft","","","1890.0"
15082200,"333 Presidio Ave APT 4, San Francisco, CA",37788551,-122447336,"12/9/15","738000.0","$",False,"1.0","1.0","770.0","sqft","","","1907.0"
15082795,"25-29 Parker Ave #27, San Francisco, CA",37785632,-122455073,"11/19/15","1.07","$M",False,"2.0","2.0","1092.0","sqft","","","1909.0"
15083161,"1825 Scott St, San Francisco, CA",37786681,-122438711,"11/23/15","32.7","$M",False,"","1.0","1100.0","sqft","1694.0","sqft","1900.0"
15084143,"270 Ewing Ter, San Francisco, CA",37779676,-122449096,"11/20/15","1.57","$M",False,"2.0","1.0","1250.0","sqft","2178.0","sqft","1940.0"
15084385,"1213 Scott St, San Francisco, CA",37781300,-122437649,"11/25/15","1.5","$M",False,"3.0","1.5","1439.0","sqft","","","1900.0"
15084557,"26 Rossi Ave, San Francisco, CA",37779640,-122456218,"12/31/15","259000.0","$",False,"7.0","3.0","4361.0","sqft","3428.0","sqft","1941.0"
15084949,"1912 Golden Gate Ave, San Francisco, CA",37778500,-122442563,"11/16/15","1.77","$M",False,"3.0","2.0","1154.0","sqft","3436.0","sqft","1900.0"
15084954,"1954 Golden Gate Ave, San Francisco, CA",37778420,-122443073,"11/24/15","1.1","$M",False,"2.0","1.0","1515.0","sqft","","","1895.0"
15085630,"650-652 Broderick St, San Francisco, CA",37776420,-122439479,"12/30/15","1.8","$M",False,"8.0","2.0","3350.0","sqft","2809.0","sqft","1907.0"
15085696,"532-534 Lyon St, San Francisco, CA",37775802,-122442710,"11/25/15","4.5","$M",False,"","2.0","2696.0","sqft","3044.0","sqft","1904.0"
15085726,"1667C-1667B Fulton St, San Francisco, CA",37775695,-122444175,"1/21/16","822000.0","$",False,"","2.0","1750.0","sqft","1437.0","sqft","1908.0"
15086718,"1260 Haight St APT 5, San Francisco, CA",37770785,-122443090,"12/3/15","1.05","$M",False,"2.0","1.0","1082.0","sqft","3438.0","sqft","1928.0"
15086964,"1576 Waller St, San Francisco, CA",37768882,-122450080,"1/8/16","1.5","$M",False,"3.0","1.0","1668.0","sqft","","","1900.0"
15087483,"721 Frederick St, San Francisco, CA",37765465,-122456295,"12/24/15","725000.0","$",False,"1.0","1.0","590.0","sqft","","","1990.0"
15087641,"805-807 Clayton St, San Francisco, CA",37766773,-122448261,"12/15/15","2.55","$M",False,"","","2950.0","sqft","2495.0","sqft","1910.0"
15087654,"814 Cole St, San Francisco, CA",37766481,-122449790,"12/17/15","1.77","$M",False,"5.0","2.0","3000.0","sqft","2687.0","sqft","1906.0"
15087801,"978 Clayton St, San Francisco, CA",37764210,-122447030,"12/1/15","1.8","$M",False,"2.0","1.0","1585.0","sqft","","","1924.0"
15088159,"1043-1045 Clayton St, San Francisco, CA",37763286,-122447391,"12/22/15","1.21","$M",False,"","4.0","5736.0","sqft","","","1974.0"
15088460,"4855-4857 17TH St, San Francisco, CA",37761346,-122450034,"12/31/15","850000.0","$",False,"","2.0","2310.0","sqft","3009.0","sqft","1926.0"
15088722,"520 El Camino Del Mar, San Francisco, CA",37787975,-122488862,"12/31/15","6.1","$M",False,"6.0","5.5","4840.0","sqft","6926.0","sqft","1926.0"
15088769,"80 Mclaren Ave, San Francisco, CA",37786532,-122489620,"11/25/15","11.6","$M",False,"4.0","5.0","6473.0","sqft","9628.0","sqft","1924.0"
15089097,"78 22nd Ave, San Francisco, CA",37786394,-122481641,"12/23/15","4.3","$M",False,"4.0","4.5","4017.0","sqft","3001.0","sqft","1907.0"
15089098,"22 22nd Ave, San Francisco, CA",37786828,-122481673,"11/17/15","4.97","$M",False,"5.0","5.0","5610.0","sqft","0.32","ac","1926.0"
15090454,"286 27th Ave, San Francisco, CA",37784078,-122486930,"11/13/15","950000.0","$",False,"2.0","1.0","1367.0","sqft","","","1924.0"
15090770,"2730-2732 Clement St, San Francisco, CA",37782092,-122488723,"12/4/15","1.2","$M",False,"4.0","2.0","3040.0","sqft","2538.0","sqft","1924.0"
15090783,"326 29th Ave, San Francisco, CA",37783151,-122488922,"11/25/15","1.5","$M",False,"3.0","1.0","1675.0","sqft","3049.0","sqft","1910.0"
15090866,"323-325 25TH Ave, San Francisco, CA",37783380,-122485309,"11/17/15","1.44","$M",False,"2.0","1.0","3130.0","sqft","2996.0","sqft","1923.0"
15091143,"262-264 17TH Ave, San Francisco, CA",37783126,-122476032,"11/19/15","1.62","$M",False,"2.0","1.0","3410.0","sqft","3000.0","sqft","1916.0"
15091950,"333-337 20TH Ave, San Francisco, CA",37781556,-122479793,"11/18/15","1.75","$M",False,"4.0","","2600.0","sqft","3000.0","sqft","1907.0"
15092065,"455 25th Ave APT 2, San Francisco, CA",37780970,-122485155,"1/21/16","1.04","$M",False,"3.0","2.0","1287.0","sqft","","","1996.0"
15092455,"3535 Clement St, San Francisco, CA",37781184,-122497425,"12/8/15","1.83","$M",False,"4.0","3.0","2500.0","sqft","3886.0","sqft","1919.0"
15092620,"3945 Clement St, San Francisco, CA",37781101,-122501742,"12/10/15","1.7","$M",False,"3.0","2.5","2209.0","sqft","2500.0","sqft","1930.0"
15092835,"149 Seal Rock Dr, San Francisco, CA",37780446,-122508816,"11/24/15","700000.0","$",False,"2.0","1.0","1275.0","sqft","2500.0","sqft","1941.0"
15093047,"554 46th Ave, San Francisco, CA",37778042,-122506661,"1/12/16","665000.0","$",False,"2.0","1.0","830.0","sqft","644.0","sqft","1900.0"
15093075,"539 44th Ave, San Francisco, CA",37778322,-122505364,"12/17/15","998500.0","$",False,"2.0","1.0","1290.0","sqft","3000.0","sqft","1922.0"
15093237,"586-588 42ND Ave, San Francisco, CA",37777620,-122502614,"12/24/15","740000.0","$",False,"2.0","1.0","864.0","sqft","1438.0","sqft","1945.0"
15093645,"505-507 32ND Ave, San Francisco, CA",37779468,-122492435,"12/18/15","1.47","$M",False,"","4.0","2376.0","sqft","1437.0","sqft","1958.0"
15093664,"591 29th Ave, San Francisco, CA",37778174,-122489141,"11/20/15","1.75","$M",False,"3.0","2.5","1800.0","sqft","1875.0","sqft","1936.0"
15093745,"591 27th Ave, San Francisco, CA",37778299,-122486969,"12/31/15","897000.0","$",False,"2.0","1.0","900.0","sqft","1760.0","sqft","1915.0"
15093965,"2920 Anza St, San Francisco, CA",37778636,-122479699,"12/23/15","310000.0","$",False,"4.0","2.0","2102.0","sqft","2666.0","sqft","1920.0"
15094244,"470 12th Ave, San Francisco, CA",37779375,-122470285,"12/10/15","1.48","$M",False,"2.0","1.5","1630.0","sqft","","","1931.0"
15094520,"3701 Geary Blvd # 304, San Francisco, CA",37780939,-122459167,"12/15/15","785500.0","$",False,"2.0","2.0","1214.0","sqft","8250.0","sqft","1986.0"
15094548,"528 2nd Ave, San Francisco, CA",37778685,-122459484,"11/25/15","1.45","$M",True,"","","2810.0","sqft","3049.0","sqft","1906.0"
15094694,"539 5th Ave, San Francisco, CA",37778372,-122463348,"12/9/15","1.24","$M",False,"","1.0","925.0","sqft","3000.0","sqft","1907.0"
15094710,"570-572 6TH Ave, San Francisco, CA",37777803,-122463721,"11/13/15","1.7","$M",False,"3.0","","2750.0","sqft","3000.0","sqft","1906.0"
15095208,"574 18th Ave, San Francisco, CA",37777141,-122476669,"12/3/15","1.83","$M",False,"3.0","1.5","2050.0","sqft","3000.0","sqft","1916.0"
15095382,"559 21st Ave, San Francisco, CA",37777240,-122480556,"12/16/15","1.25","$M",False,"2.0","1.0","1400.0","sqft","3001.0","sqft","1918.0"
15095541,"3321 Anza St, San Francisco, CA",37777956,-122483984,"12/31/15","2.27","$M",False,"8.0","6.0","4729.0","sqft","2430.0","sqft","1905.0"
15095745,"654 30th Ave, San Francisco, CA",37776903,-122489545,"11/25/15","1.58","$M",False,"3.0","1.5","1900.0","sqft","3049.0","sqft","1927.0"
15095966,"699 36th Ave APT 408, San Francisco, CA",37775999,-122496550,"12/15/15","925000.0","$",False,"3.0","3.0","1639.0","sqft","1742.0","sqft","1997.0"
15096484,"716 Great Hwy # 1, San Francisco, CA",37774947,-122510650,"12/16/15","912000.0","$",False,"3.0","2.0","1600.0","sqft","","","1990.0"
15096544,"783 La Playa St # 2, San Francisco, CA",37773690,-122510340,"12/14/15","535000.0","$",False,"1.0","1.0","667.0","sqft","","","1991.0"
15096577,"739 48th Ave, San Francisco, CA",37774398,-122509364,"1/5/16","945000.0","$",False,"","2.0","1368.0","sqft","3000.0","sqft","1957.0"
15096806,"744 44th Ave, San Francisco, CA",37774487,-122504423,"11/10/15","1.23","$M",False,"4.0","3.0","2380.0","sqft","4199.0","sqft","1926.0"
15097178,"760 35th Ave, San Francisco, CA",37774688,-122494764,"12/1/15","1.81","$M",False,"8.0","5.0","3905.0","sqft","3598.0","sqft","1965.0"
15097633,"623 23rd Ave, San Francisco, CA",37775847,-122482595,"12/1/15","955000.0","$",False,"2.0","1.0","1085.0","sqft","2770.0","sqft","1920.0"
15097709,"668 23rd Ave, San Francisco, CA",37775173,-122481902,"11/25/15","1.12","$M",False,"","1.0","1325.0","sqft","2996.0","sqft","1922.0"
15098770,"790 7th Ave APT 104, San Francisco, CA",37773831,-122464603,"12/22/15","600000.0","$",False,"2.0","1.0","560.0","sqft","","","1981.0"
15099387,"735 22nd Ave, San Francisco, CA",37773876,-122481388,"12/14/15","5995.0","$",False,"4.0","2.0","1800.0","sqft","2996.0","sqft","1921.0"
15099711,"886 30th Ave, San Francisco, CA",37772625,-122489280,"11/12/15","1.38","$M",False,"2.0","3.0","1990.0","sqft","2375.0","sqft","1929.0"
