 Date,Campaign_Source,Video_ID,Category,Subcategory,Presenter,RPV,TotalViews,ViewsOffsite,ViewsOnsite,GrossRevenue,TotalUnitsSold,TotalSecondsViewed,SecondsViewedOffsite,SecondsViewedOnsite,SalePrice
12/29/16,syndication-AOL-CPV,3320,Home,Cleaning & Laundry Care,Marcy McKenna,0,1263,1251,12,0,0,61720,61271,449,
12/28/16,syndication-aol-hp-test,3063,Home,Storage & Organization,Marcy McKenna,0.79,1725,1675,50,1369,20,122551,118684,3867,68.45
12/28/16,syndication-AOL-CPV,2905,Beauty,Hair,Zoe Ruderman,0.14,8568,8452,116,1207.5,35,759926,752804,7122,34.5
12/28/16,syndication-comcast,3100,Beauty,Skincare,Jenny Patinkin,0.13,1841,0,1841,248,13,126393,0,126393,19.08
12/28/16,syndication-aol-hp-test,3100,Beauty,Skincare,Jenny Patinkin,0.15,10181,9921,260,1546,77,657611,646719,10892,20.08
12/28/16,syndication-comcast,2722,Beauty,Skincare,Jenny Patinkin,0.21,1001,0,1001,210,6,68241,0,68241,35
12/28/16,syndication-comcast,2980,Home,Cleaning & Laundry Care,Marcy McKenna,0,4450,0,4450,0,0,314353,0,314353,
12/27/16,syndication-aol-hp-test,2991,Beauty,Makeup,Naomi Priestley,0.32,6330,6310,20,2027,58,346346,344851,1495,34.95
12/27/16,syndication-aol-hp-test,2584,Home,Cleaning & Laundry Care,Marcy McKenna,0.31,7843,7772,71,2465,85,444160,439588,4572,29
12/27/16,syndication-AOL-CPV,3358,Beauty,Makeup,Jamie Greenberg,0.24,8078,8033,45,1958,38,443117,440857,2260,51.53
12/27/16,syndication-comcast,2452,Home,Tech Accessories,Marcy McKenna,0.32,2809,0,2809,900,18,207690,0,207690,50
12/26/16,syndication-aol-hp-test,3388,Apparel,Sweaters,Alison Deyette,0.2,1312,1301,11,264,3,39687,39453,234,88
12/26/16,syndication-comcast,2825,Home,Tech Accessories,Marcy McKenna,0.15,1212,0,1212,180,6,96535,0,96535,30
12/26/16,syndication-aol-hp-test,2518,Home,Storage & Organization,Marcy McKenna,0.61,3581,3529,52,2189,11,278425,274290,4135,199
12/26/16,syndication-aol-hp-test,2848,Beauty,Hair,Sunnie Brook,0.17,3476,3438,38,594,6,188006,186318,1688,99
12/26/16,syndication-aol-hp-test,2266,Beauty,Oral Care,Zoe Ruderman,0.11,4240,4172,68,450,2,229743,226361,3382,225
12/26/16,syndication-AOL-CPV,3320,Home,Cleaning & Laundry Care,Marcy McKenna,0.04,5471,5412,59,236,8,268011,265235,2776,29.5
12/26/16,syndication-AOL-CPV,2628,Beauty,Tools,Zoe Ruderman,0,13179,12947,232,0,0,578804,569579,9225,
12/25/16,syndication-aol-hp-test,2266,Beauty,Oral Care,Zoe Ruderman,0.17,10398,10219,179,1740,10,565344,554874,10470,174
12/25/16,syndication-AOL-CPV,3320,Home,Cleaning & Laundry Care,Marcy McKenna,0.12,11351,11252,99,1416,48,540324,535734,4590,29.5
12/25/16,syndication-aol-hp-test,3388,Apparel,Sweaters,Alison Deyette,0.27,2647,2637,10,704,8,80239,79899,340,88
12/24/16,syndication-aol-hp-test,2434,Beauty,Skincare,Jenny Patinkin,0.2,3481,3471,10,687,24,158431,158017,414,28.63
12/24/16,syndication-aol-hp-test,3053,Accessories,Bags,Zoe Ruderman,0.27,3120,3062,58,840,35,164098,161885,2213,24
12/24/16,syndication-AOL-CPV,2958,Home,Storage & Organization,Marcy McKenna,0.15,9512,9473,39,1420,71,546469,543340,3129,20
12/23/16,syndication-aol-hp-test,3167,Accessories,Shoes,Zoe Ruderman,0.41,4215,4181,34,1725,25,175951,174850,1101,69
12/23/16,syndication-comcast,2113,Beauty,Skincare,Zoe Ruderman,0.59,1696,0,1696,995,5,115373,0,115373,199
12/23/16,syndication-AOL-CPV,2825,Home,Tech Accessories,Marcy McKenna,0.09,12991,12957,34,1210,45,665871,663394,2477,26.89
12/23/16,syndication-aol-hp-test,3392,Home,Cleaning & Laundry Care,Lindsay Albanese,0.6,3114,3093,21,1862,49,214813,213862,951,38
12/22/16,syndication-aol-hp-test,3356,Apparel,Outerwear,Marcy McKenna,0.21,3023,2978,45,640,5,193450,191541,1909,128
12/22/16,syndication-comcast,3359,Home,Storage & Organization,Marcy McKenna,0.72,2151,0,2151,1543,15,196113,0,196113,102.87
12/22/16,syndication-AOL-CPV,2905,Beauty,Hair,Zoe Ruderman,0.19,14572,14406,166,2794.5,81,4664565,4654085,10480,34.5
12/22/16,syndication-aol-hp-test,2490,Beauty,Skincare,Zoe Ruderman,0.49,3313,3299,14,1615,85,202340,201613,727,19
12/22/16,syndication-aol-hp-test,3380,Accessories,Bags,Tienlyn Jacobson,0.84,4643,4579,64,3906,48,207618,204518,3100,81.38
12/21/16,syndication-aol-hp-test,3256,Apparel,Sweaters,Anita Patrickson,0.11,4799,4770,29,522,18,151148,150289,859,29
12/21/16,syndication-AOL-CPV,2934,Beauty,Tools,Jamie Greenberg,0.1,14669,14548,121,1456,91,1680471,1670926,9545,16
12/21/16,syndication-comcast,3290,Accessories,Shoes,Tienlyn Jacobson,0.22,1332,0,1332,299,2,48342,0,48342,149.5
12/21/16,syndication-aol-hp-test,2992,Home,Travel,Marcy McKenna,0.44,2046,2046,0,908,16,160453,160453,0,56.75
12/21/16,syndication-aol-hp-test,3398,Home,Storage & Organization,Marcy McKenna,0.81,1701,1674,27,1386,12,107204,105454,1750,115.5
12/20/16,syndication-comcast,3359,Home,Storage & Organization,Marcy McKenna,1.1,1808,0,1808,1997,19,140498,0,140498,105.11
12/20/16,syndication-aol-hp-test,3356,Apparel,Outerwear,Marcy McKenna,0.75,8526,8430,96,6408,72,575711,571447,4264,89
12/20/16,syndication-AOL-CPV,2934,Beauty,Tools,Jamie Greenberg,0.19,1167,1151,16,224,14,126304,125120,1184,16
12/20/16,syndication-AOL-CPV,3399,Beauty,Skincare,Jenny Patinkin,0.3,11577,11511,66,3488,53,623261,619777,3484,65.81
12/20/16,syndication-comcast,3401,Beauty,Tools,Jamie Greenberg,0.56,1449,0,1449,810,9,112458,0,112458,90
12/20/16,syndication-aol-hp-test,3054,Beauty,Tools,Zoe Ruderman,0.41,5025,5007,18,2064,32,373218,371113,2105,64.5
12/19/16,syndication-AOL-CPV,3253,Accessories,Fashion Jewelry,Karla Cavalli,0,10299,10297,2,0,0,365030,364940,90,
12/19/16,syndication-aol-hp-test,3358,Beauty,Makeup,Jamie Greenberg,0.37,6952,6918,34,2581,48,373120,371192,1928,53.77
12/19/16,syndication-comcast,3228,Apparel,Denim,Alison Deyette,0.17,1511,0,1511,256,2,62884,0,62884,128
12/19/16,syndication-aol-hp-test,3359,Home,Storage & Organization,Marcy McKenna,1.94,5449,5311,138,10591,119,373297,365762,7535,89
12/19/16,syndication-AOL-CPV,3063,Home,Storage & Organization,Marcy McKenna,0.56,1882,1852,30,1056,12,120947,119166,1781,88
12/18/16,syndication-aol-hp-test,3401,Beauty,Tools,Jamie Greenberg,2.09,3062,2964,98,6390,71,222816,216947,5869,90
12/18/16,syndication-AOL-CPV,3191,Home,Travel,Marcy McKenna,0.83,9115,9011,104,7562,38,878629,870633,7996,199
12/18/16,syndication-comcast,2557,Beauty,Tools,Susan Yara,0.43,1279,0,1279,546,7,74277,0,74277,78
12/17/16,syndication-AOL-CPV,2879,Home,Kitchen & Food,Marcy McKenna,0.34,6816,6713,103,2295,51,499699,493268,6431,45
12/17/16,syndication-AOL-CPV,3320,Home,Cleaning & Laundry Care,Marcy McKenna,0.11,8232,8140,92,944,32,404627,400250,4377,29.5
12/17/16,syndication-aol-hp-test,2113,Beauty,Skincare,Zoe Ruderman,0.56,6212,6172,40,3490,20,430012,427232,2780,174.5
12/17/16,syndication-comcast,3401,Beauty,Tools,Jamie Greenberg,1.3,1797,0,1797,2340,26,132292,0,132292,90
12/17/16,syndication-comcast,2613,Accessories,Bags,Marcy McKenna,0,1010,0,1010,0,0,65872,0,65872,
12/17/16,syndication-aol-hp-test,2557,Beauty,Tools,Susan Yara,0.99,1791,1769,22,1770,30,108906,107890,1016,59
12/16/16,syndication-aol-hp-test,2613,Accessories,Bags,Marcy McKenna,0.49,6660,6585,75,3276,84,409619,405668,3951,39
12/16/16,marketing-campaigns-joyus,3400,Home,Storage & Organization,Marcy McKenna,0.51,2386,0,2386,1225,17,158128,0,158128,72.06
12/16/16,syndication-aol-hp-test,3400,Home,Storage & Organization,Marcy McKenna,0.55,3762,3663,99,2058,34,245195,239583,5612,60.53
12/16/16,syndication-AOL-CPV,3304,Health & Fitness,Exercise,TV Integration,0.39,4943,4903,40,1937,13,654827,650189,4638,149
12/16/16,syndication-AOL-CPV,2825,Home,Tech Accessories,Marcy McKenna,0.2,3420,3408,12,680,24,175150,174359,791,28.33
12/16/16,marketing-campaigns-joyus,3406,Home,Storage & Organization,Marcy McKenna,1.67,1171,0,1171,1950,50,101374,0,101374,39
12/15/16,syndication-AOL-CPV,3191,Home,Travel,Marcy McKenna,1.12,4283,4204,79,4776,24,401113,394525,6588,199
12/15/16,syndication-AOL-CPV,2958,Home,Storage & Organization,Marcy McKenna,0.22,20785,20669,116,4660,233,1246147,1238064,8083,20
12/15/16,syndication-AOL-CPV,2825,Home,Tech Accessories,Marcy McKenna,0.05,1131,1124,7,60,3,58854,58623,231,20
12/15/16,syndication-aol-hp-test,3399,Beauty,Skincare,Jenny Patinkin,0.33,13763,13685,78,4528,79,732188,728673,3515,57.32
12/15/16,marketing-campaigns-joyus,3399,Beauty,Skincare,Jenny Patinkin,2.79,1140,2,1138,3185,56,80444,149,80295,56.88
12/15/16,syndication-aol-hp-test,3191,Home,Travel,Marcy McKenna,0.76,6580,6492,88,4975,25,597593,589573,8020,199
12/15/16,syndication-comcast,2115,Health & Fitness,Exercise,Leandra Rouse,0.64,7127,0,7127,4587,33,449927,0,449927,139
12/14/16,syndication-aol-hp-test,3398,Home,Storage & Organization,Marcy McKenna,1.05,6973,6835,138,7298,74,474989,464275,10714,98.62
12/14/16,syndication-comcast,3043,Home,Travel,Marcy McKenna,1,1091,0,1091,1088,16,116957,0,116957,68
12/14/16,syndication-comcast,3202,Beauty,Makeup,Naomi Priestley,0.14,1767,0,1767,245,5,91642,0,91642,49
12/14/16,syndication-AOL-CPV,2825,Home,Tech Accessories,Marcy McKenna,0.13,17538,17504,34,2240,82,878342,876028,2314,27.32
12/14/16,syndication-aol-hp-test,2663,Accessories,Not Set,Marcy McKenna,1.25,3320,3264,56,4158,42,204709,201896,2813,99
12/14/16,marketing-campaigns-joyus,3398,Home,Storage & Organization,Marcy McKenna,1.88,1025,0,1025,1930,20,89584,0,89584,96.5
12/13/16,syndication-aol-hp-test,3396,Beauty,Makeup,Ami Desai ,0.61,8247,8102,145,5040,112,637065,625210,11855,45
12/13/16,syndication-aol-hp-test,2663,Accessories,Not Set,Marcy McKenna,0.6,1494,1463,31,891,9,95386,92400,2986,99
12/13/16,syndication-AOL-CPV,3253,Accessories,Fashion Jewelry,Karla Cavalli,0,1325,1324,1,0,0,57272,57212,60,
12/13/16,syndication-AOL-CPV,2825,Home,Tech Accessories,Marcy McKenna,0.14,3057,3051,6,420,16,154928,154399,529,26.25
12/13/16,syndication-AOL-CPV,3071,Beauty,Tools,Zoe Ruderman,0.58,12641,12576,65,7360,118,669390,666325,3065,62.37
12/13/16,syndication-aol-hp-test,3405,Home,Cleaning & Laundry Care,Marcy McKenna,0.41,10572,10542,30,4344,417,839098,831112,7986,10.42
12/13/16,syndication-AOL-CPV,3320,Home,Cleaning & Laundry Care,Marcy McKenna,0.11,1591,1578,13,177,6,73538,73011,527,29.5
12/13/16,marketing-campaigns-joyus,3396,Beauty,Makeup,Ami Desai ,1.16,1166,0,1166,1350,30,138657,0,138657,45
12/12/16,syndication-aol-hp-test,3008,Beauty,Tools,Zoe Ruderman,0.26,3821,3776,45,995,10,258200,255459,2741,99.5
12/12/16,syndication-aol-hp-test,3378,Home,Storage & Organization,Marcy McKenna,1.82,13265,12822,443,24102,350,926387,906314,20073,68.86
12/12/16,syndication-AOL-CPV,2879,Home,Kitchen & Food,Marcy McKenna,0.45,11869,11685,184,5355,119,824655,813783,10872,45
12/12/16,syndication-AOL-CPV,3253,Accessories,Fashion Jewelry,Karla Cavalli,0.07,8425,8418,7,608,16,302061,301771,290,38
12/12/16,syndication-aol-hp-test,2992,Home,Travel,Marcy McKenna,1.44,2195,2195,0,3160,56,217130,217130,0,56.43
12/11/16,syndication-aol-hp-test,3394,Beauty,Makeup,Jamie Greenberg,0.19,2912,2873,39,552,23,153461,151412,2049,24
12/11/16,syndication-AOL-CPV,3063,Home,Storage & Organization,Marcy McKenna,1.42,2979,2945,34,4224,48,202792,200912,1880,88
12/11/16,syndication-comcast,2518,Home,Storage & Organization,Marcy McKenna,1.33,2019,0,2019,2695,11,216347,0,216347,245
12/11/16,syndication-AOL-CPV,2879,Home,Kitchen & Food,Marcy McKenna,0.21,1067,1044,23,225,5,84114,82285,1829,45
12/11/16,syndication-aol-hp-test,2992,Home,Travel,Marcy McKenna,1.38,3980,3980,0,5512,98,373744,373744,0,56.24
12/11/16,marketing-campaigns-joyus,2993,Home,Travel,Marcy McKenna,2.22,1382,0,1382,3069,54,128622,0,128622,56.83
12/11/16,syndication-AOL-CPV,2628,Beauty,Tools,Zoe Ruderman,1.03,1394,1360,34,1436,4,68400,66741,1659,359
12/10/16,syndication-aol-hp-test,3391,Accessories,Fashion Jewelry,Alison Deyette,1.64,1976,1959,17,3239,41,77892,76786,1106,79
12/10/16,syndication-AOL-CPV,3320,Home,Cleaning & Laundry Care,Marcy McKenna,0.23,7556,7488,68,1711,58,385670,382565,3105,29.5
12/10/16,marketing-campaigns-joyus,2628,Beauty,Tools,Zoe Ruderman,2.54,1981,0,1981,5026,14,103637,0,103637,359
12/10/16,syndication-aol-hp-test,3336,Home,Kitchen & Food,Marcy McKenna,0.01,6028,6022,6,87,3,422224,421938,286,29
12/10/16,syndication-AOL-CPV,2628,Beauty,Tools,Zoe Ruderman,0.86,10382,10131,251,8975,25,491141,478941,12200,359
12/10/16,syndication-aol-hp-test,2628,Beauty,Tools,Zoe Ruderman,1.25,3433,3394,39,4308,12,163766,162024,1742,359
12/9/16,syndication-comcast,2348,Home,Storage & Organization,Marcy McKenna,0.59,1869,0,1869,1108,44,155693,0,155693,25.18
12/9/16,syndication-aol-hp-test,2992,Home,Travel,Marcy McKenna,1.24,2411,2411,0,3001,53,235650,235650,0,56.62
12/9/16,syndication-aol-hp-test,3085,Home,Storage & Organization,Marcy McKenna,0.89,3685,3650,35,3294,115,246510,244780,1730,28.64
12/9/16,syndication-AOL-CPV,3253,Accessories,Fashion Jewelry,Karla Cavalli,0.08,24817,24802,15,2038,51,828354,827873,481,39.96
12/9/16,syndication-comcast,3259,Apparel,Outerwear,Alison Deyette,0.3,1319,0,1319,390,5,48658,0,48658,78
12/9/16,marketing-campaigns-joyus,3392,Home,Cleaning & Laundry Care,Lindsay Albanese,1.67,2311,0,2311,3857,133,141485,0,141485,29
12/9/16,syndication-aol-hp-test,3392,Home,Cleaning & Laundry Care,Lindsay Albanese,1.1,4503,4410,93,4959,171,253064,250343,2721,29
12/9/16,syndication-AOL-CPV,3191,Home,Travel,Marcy McKenna,0.91,3943,3895,48,3582,18,362318,358987,3331,199
12/8/16,syndication-AOL-CPV,3320,Home,Cleaning & Laundry Care,Marcy McKenna,0.22,27021,26794,227,6077,206,1283809,1273006,10803,29.5
12/8/16,marketing-campaigns-joyus,3361,Beauty,Makeup,Jamie Greenberg,1.98,1014,0,1014,2010,52,83290,0,83290,38.65
12/8/16,syndication-aol-hp-test,3259,Apparel,Outerwear,Alison Deyette,0.39,3013,2969,44,1170,15,113508,111454,2054,78
12/8/16,syndication-comcast,1916,Beauty,Skincare,Zoe Ruderman,0.4,1910,0,1910,765,9,102390,0,102390,85
12/8/16,syndication-aol-hp-test,3391,Accessories,Fashion Jewelry,Alison Deyette,1.3,5523,5436,87,7189,91,204159,201523,2636,79
12/8/16,syndication-comcast,3054,Beauty,Tools,Zoe Ruderman,0.33,3559,0,3559,1161,18,461377,0,461377,64.5
12/8/16,marketing-campaigns-joyus,3391,Accessories,Fashion Jewelry,Alison Deyette,1.19,2196,0,2196,2607,33,89756,0,89756,79
12/7/16,marketing-campaigns-joyus,3388,Apparel,Sweaters,Alison Deyette,0.42,2116,0,2116,897,13,51870,0,51870,69
12/7/16,syndication-comcast,2825,Home,Tech Accessories,Marcy McKenna,0.59,1476,0,1476,870,31,118968,0,118968,28.06
12/7/16,syndication-comcast,3102,Beauty,Tools,Susan Yara,1.36,1567,0,1567,2124,36,123016,0,123016,59
12/7/16,syndication-aol-hp-test,3102,Beauty,Tools,Susan Yara,0.74,5155,5084,71,3834,65,377114,372757,4357,58.98
12/7/16,syndication-aol-hp-test,3043,Home,Travel,Marcy McKenna,0.73,7224,7160,64,5304,78,683202,678997,4205,68
12/7/16,syndication-comcast,2905,Beauty,Hair,Zoe Ruderman,0.23,1187,0,1187,276,8,132249,0,132249,34.5
12/7/16,syndication-AOL-CPV,2582,Health & Fitness,Hydration,Zoe Ruderman,0.5,1651,1637,14,825,24,87272,86811,461,34.38
12/7/16,syndication-AOL-CPV,2879,Home,Kitchen & Food,Marcy McKenna,0.45,9494,9346,148,4275,95,672614,664302,8312,45
12/7/16,syndication-comcast,2357,Home,Storage & Organization,Marcy McKenna,0.04,1334,0,1334,50,2,76034,0,76034,25
12/6/16,syndication-comcast,3166,Beauty,Makeup,Jamie Greenberg,0.11,1024,0,1024,114,3,43502,0,43502,38
12/6/16,syndication-comcast,3267,Beauty,Tools,Susan Yara,0.51,1935,0,1935,996,4,148393,0,148393,249
12/6/16,syndication-aol-hp-test,3356,Apparel,Outerwear,Marcy McKenna,0.34,5589,5434,155,1920,15,322705,313704,9001,128
12/6/16,syndication-AOL-CPV,2582,Health & Fitness,Hydration,Zoe Ruderman,0.2,2367,2335,32,465,14,137431,135797,1634,33.21
12/6/16,syndication-AOL-CPV,3191,Home,Travel,Marcy McKenna,2.18,10707,10546,161,23328,235,991243,981162,10081,99.27
12/6/16,syndication-aol-hp-test,3389,Beauty,Tools,Susan Yara,0.79,1824,1784,40,1440,24,185621,182964,2657,60
12/6/16,syndication-aol-hp-test,3388,Apparel,Sweaters,Alison Deyette,0.67,10359,10205,154,6969,101,323907,318579,5328,69
12/6/16,marketing-campaigns-joyus,3388,Apparel,Sweaters,Alison Deyette,1.03,2406,0,2406,2484,36,80951,0,80951,69
12/5/16,syndication-AOL-CPV,2879,Home,Kitchen & Food,Marcy McKenna,0.38,14422,14213,209,5445,121,997864,986545,11319,45
12/5/16,syndication-comcast,3248,Accessories,Shoes,Zoe Ruderman,0.35,1544,0,1544,537,6,77152,0,77152,89.5
12/5/16,syndication-aol-hp-test,3380,Accessories,Bags,Tienlyn Jacobson,0.81,6641,6508,133,5372,68,4532195,4524990,7205,79
12/5/16,syndication-aol-hp-test,3054,Beauty,Tools,Zoe Ruderman,0.28,7388,7379,9,2064,32,660917,660862,55,64.5
12/5/16,marketing-campaigns-joyus,3380,Accessories,Bags,Tienlyn Jacobson,1.46,1403,0,1403,2054,26,68318,0,68318,79
12/4/16,syndication-aol-hp-test,2566,Apparel,Bottoms,Alison Deyette,0.38,9533,9449,84,3607,26,463075,459109,3966,138.73
12/4/16,syndication-AOL-CPV,2879,Home,Kitchen & Food,Marcy McKenna,0.28,6782,6664,118,1890,42,475712,468206,7506,45
12/4/16,syndication-comcast,3356,Apparel,Outerwear,Marcy McKenna,0.43,1487,0,1487,640,5,104794,0,104794,128
12/4/16,syndication-aol-hp-test,3361,Beauty,Makeup,Jamie Greenberg,0.1,3961,3927,34,408,11,242106,239730,2376,37.09
12/4/16,marketing-campaigns-joyus,2603,Beauty,Skincare,Jenny Patinkin,0.16,1025,0,1025,160,2,75061,0,75061,80
12/4/16,marketing-campaigns-joyus,2566,Apparel,Bottoms,Alison Deyette,0.74,1483,0,1483,1093,8,82273,0,82273,136.63
12/3/16,syndication-comcast,3395,Accessories,Bags,Tienlyn Jacobson,0.28,1948,0,1948,552,8,109929,0,109929,69
12/3/16,syndication-AOL-CPV,3043,Home,Travel,Marcy McKenna,0.43,7020,6903,117,2992,44,719170,708302,10868,68
12/3/16,syndication-aol-hp-test,3382,Accessories,Fashion Jewelry,Karla Cavalli,0.17,5133,5088,45,897,23,153537,152249,1288,39
12/3/16,syndication-comcast,3043,Home,Travel,Marcy McKenna,0.43,1412,0,1412,612,9,151910,0,151910,68
12/3/16,syndication-aol-hp-test,3248,Accessories,Shoes,Zoe Ruderman,0.47,3447,3416,31,1611,18,159321,157902,1419,89.5
12/3/16,marketing-campaigns-joyus,3382,Accessories,Fashion Jewelry,Karla Cavalli,0.8,1266,0,1266,1014,26,40382,0,40382,39
12/2/16,syndication-comcast,3395,Accessories,Bags,Tienlyn Jacobson,0.19,1786,0,1786,345,5,99552,0,99552,69
12/2/16,syndication-aol-hp-test,3381,Beauty,Makeup,Multi Host,0.16,14523,14380,143,2327,109,867610,858919,8691,21.35
12/2/16,syndication-aol-hp-test,3384,Home,Storage & Organization,Marcy McKenna,0.96,11271,10620,651,10788,272,734705,703266,31439,39.66
12/2/16,syndication-comcast,3384,Home,Storage & Organization,Marcy McKenna,0.53,2187,0,2187,1170,30,147204,0,147204,39
12/2/16,marketing-campaigns-joyus,3384,Home,Storage & Organization,Marcy McKenna,1.27,2765,0,2765,3510,90,194923,0,194923,39
12/2/16,syndication-comcast,3360,Beauty,Skincare,Susan Yara,0.32,4508,0,4508,1425,38,398965,0,398965,37.5
12/2/16,syndication-aol-hp-test,3054,Beauty,Tools,Zoe Ruderman,0.17,1534,1526,8,258,4,113786,112496,1290,64.5
12/1/16,syndication-aol-hp-test,3054,Beauty,Tools,Zoe Ruderman,0.17,3888,3880,8,645,10,281624,280906,718,64.5
12/1/16,syndication-aol-hp-test,3395,Accessories,Bags,Tienlyn Jacobson,0.28,10976,10858,118,3105,45,522390,516099,6291,69
12/1/16,syndication-AOL-CPV,2518,Home,Storage & Organization,Marcy McKenna,0.13,1882,1857,25,245,1,147066,144864,2202,245
12/1/16,marketing-campaigns-joyus,3395,Accessories,Bags,Tienlyn Jacobson,0.89,1870,1,1869,1656,24,76960,77,76883,69
11/30/16,syndication-aol-hp-test,3359,Home,Storage & Organization,Marcy McKenna,0.78,4297,4235,62,3366,34,275744,271881,3863,99
11/30/16,syndication-comcast,3043,Home,Travel,Marcy McKenna,0.6,3383,1,3382,2040,30,377267,143,377124,68
11/30/16,syndication-aol-hp-test,2957,Beauty,Tools,Zoe Ruderman,0.32,6881,6837,44,2189,11,510892,508281,2611,199
11/30/16,syndication-aol-hp-test,3304,Health & Fitness,Exercise,TV Integration,0.24,8161,8154,7,1937,13,1002066,1001232,834,149
11/30/16,marketing-campaigns-joyus,3362,Accessories,Fashion Jewelry,Karla Cavalli,0.64,1336,0,1336,858,22,32190,0,32190,39
11/29/16,marketing-campaigns-joyus,3196,Accessories,Bags,Karla Cavalli,0.75,2478,0,2478,1863,27,135509,0,135509,69
11/29/16,syndication-aol-hp-test,3186,Home,Kitchen & Food,Marcy McKenna,0.37,11472,11381,91,4259.5,142,714891,709280,5611,30
11/29/16,syndication-aol-hp-test,3191,Home,Travel,Marcy McKenna,1.96,2027,1987,40,3980,40,192227,188309,3918,99.5
11/29/16,syndication-comcast,2584,Home,Cleaning & Laundry Care,Marcy McKenna,0.73,5374,0,5374,3920,112,423395,0,423395,35
11/29/16,syndication-aol-hp-test,3360,Beauty,Skincare,Susan Yara,0.52,5909,5865,44,3075,80,563389,560619,2770,38.44
11/29/16,syndication-aol-hp-test,2628,Beauty,Tools,Zoe Ruderman,0.27,3286,3255,31,898,2,168452,166390,2062,449
11/28/16,syndication-aol-hp-test,3350,Home,Tech Accessories,Marcy McKenna,1.42,1048,1021,27,1490,10,59752,57872,1880,149
11/28/16,syndication-aol-hp-test,3359,Home,Storage & Organization,Marcy McKenna,2.38,5426,5322,104,12928,101,380324,370814,9510,128
11/28/16,syndication-comcast,2429,Apparel,Denim,Zoe Ruderman,0.14,1433,0,1433,196,2,69307,0,69307,98
11/28/16,syndication-aol-hp-test,3356,Apparel,Outerwear,Marcy McKenna,1.43,1075,1042,33,1536,12,67206,65263,1943,128
11/28/16,syndication-aol-hp-test,2628,Beauty,Tools,Zoe Ruderman,2.9,2790,2758,32,8082,18,153854,152284,1570,449
11/28/16,syndication-comcast,3102,Beauty,Tools,Susan Yara,1.15,2537,0,2537,2923,37,198867,0,198867,79
11/28/16,syndication-aol-hp-test,3191,Home,Travel,Marcy McKenna,2.94,3662,3580,82,10752,84,316364,309789,6575,128
11/27/16,syndication-aol-hp-test,3043,Home,Travel,Marcy McKenna,0.49,6385,6283,102,3128,46,633820,625869,7951,68
11/27/16,syndication-comcast,3170,Beauty,Hair,Clariss Rubenstein,0,1871,0,1871,0,0,78991,0,78991,
11/27/16,syndication-aol-hp-test,3191,Home,Travel,Marcy McKenna,1.31,7465,7274,191,9789,85,716350,690095,26255,115.16
11/26/16,syndication-aol-hp-test,3363,Health & Fitness,Hydration,Anita Patrickson,0.22,4062,4017,45,882,21,165409,163543,1866,42
11/26/16,syndication-aol-hp-test,3350,Home,Tech Accessories,Marcy McKenna,0.99,10390,10261,129,10281,69,660235,653021,7214,149
11/25/16,syndication-aol-hp-test,3356,Apparel,Outerwear,Marcy McKenna,1.21,9862,9712,150,11979,121,664317,657162,7155,99
11/25/16,syndication-aol-hp-test,2628,Beauty,Tools,Zoe Ruderman,1.16,10437,10389,48,12123,27,556540,554103,2437,449
11/25/16,syndication-comcast,3356,Apparel,Outerwear,Marcy McKenna,0.35,1135,0,1135,396,4,65838,0,65838,99
