"ID","Address","DateOfSale","SalePrice","IsAStudio","Beds","Baths","Size","LotSize","BuiltInYear"
15070544,"1051-1053 Francisco St, San Francisco, CA","12/1/15","9.71","0.0","5.0","6.0","4650.0","4726.0","1953.0"
15070728,"3315 Pierce St, San Francisco, CA","1/6/16","2.5","0.0","3.0","3.5","2255.0","2500.0","1925.0"
15070807,"1763-1765 Chestnut St, San Francisco, CA","12/1/15","1.38","0.0","","3.0","3260.0","3000.0","1920.0"
15071012,"2701 Van Ness Ave APT 207, San Francisco, CA","11/30/15","0.885","0.0","","1.0","885.0","","1929.0"
15071070,"2701 Van Ness Ave APT 702, San Francisco, CA","12/2/15","0.718","0.0","","1.0","793.0","","1929.0"
15071199,"2374-2376 Greenwich St, San Francisco, CA","11/23/15","6.0","0.0","4.0","5.0","4178.0","2495.0","1938.0"
15071224,"3126 Scott St APT 2, San Francisco, CA","12/7/15","1.35","0.0","2.0","2.0","1367.0","","1970.0"
15071286,"3038 Pierce St, San Francisco, CA","12/7/15","1.15","0.0","2.0","2.0","1150.0","","1906.0"
15071577,"1374 Union St, San Francisco, CA","12/2/15","3.0","0.0","3.0","3.5","3105.0","","1907.0"
15072128,"1438 Green St UNIT 5A, San Francisco, CA","12/18/15","1.28","0.0","2.0","2.0","1206.0","","1998.0"
15072153,"1353 Green St, San Francisco, CA","11/24/15","2.3","0.0","2.0","2.0","1764.0","","1941.0"
15072263,"1795 Green St, San Francisco, CA","11/20/15","2.5","0.0","3.0","2.0","1647.0","","1908.0"
15072504,"2660 Scott St, San Francisco, CA","12/8/15","13.1","0.0","7.0","8.0","9190.0","5623.0","1908.0"
15072510,"2535 Vallejo St, San Francisco, CA","11/23/15","5.6","0.0","","4.0","4065.0","3781.0","1908.0"
15072951,"1770 Pacific Ave APT 103, San Francisco, CA","11/25/15","1.76","0.0","2.0","2.0","1500.0","","1902.0"
15072997,"1896 Pacific Ave APT 802, San Francisco, CA","12/15/15","0.25","0.0","2.0","2.5","2272.0","","1924.0"
15073090,"2002 Pacific Ave APT 4, San Francisco, CA","1/20/16","4.2","0.0","3.0","3.5","3291.0","","1961.0"
15073657,"1895 Pacific Ave APT 506, San Francisco, CA","11/20/15","0.975","0.0","1.0","1.0","1165.0","","1931.0"
15074158,"1945 Washington St APT 411, San Francisco, CA","12/16/15","0.665","0.0","1.0","1.0","653.0","","1987.0"
15074306,"1950 Gough St APT 306, San Francisco, CA","12/21/15","1.15","0.0","1.0","1.0","1000.0","","1926.0"
15074558,"2684-2686 Sacramento St, San Francisco, CA","12/8/15","2.71","0.0","","","2840.0","2674.0","1900.0"
15074647,"2619-2621 Sacramento St, San Francisco, CA","12/3/15","2.9","0.0","7.0","5.0","2930.0","2038.0","1900.0"
15075139,"2215 California St, San Francisco, CA","12/11/15","5.05","0.0","5.0","6.0","3485.0","3454.0","1900.0"
15075278,"2440 Bush St # C, San Francisco, CA","11/16/15","2.0","0.0","3.0","2.5","1810.0","","1985.0"
15075410,"2015 Pine St # A, San Francisco, CA","12/1/15","0.795","0.0","1.0","1.0","708.0","","1900.0"
15075714,"1880 Steiner St APT 101, San Francisco, CA","12/22/15","1.35","0.0","2.0","3.0","1332.0","","1999.0"
15076120,"2075 Sutter St APT 507, San Francisco, CA","12/4/15","1.31","0.0","2.0","2.0","1084.0","","1992.0"
15076156,"1533 Sutter St, San Francisco, CA","11/12/15","5.53","0.0","6.0","7.5","7375.0","2748.0","1890.0"
15076294,"1450 Post St APT 1006, San Francisco, CA","11/16/15","0.17","0.0","","","545.0","","1992.0"
15076310,"1450 Post St APT 1108, San Francisco, CA","11/24/15","0.399","0.0","1.0","1.0","595.0","","1992.0"
15076450,"1483 Sutter St APT 1102, San Francisco, CA","11/19/15","0.69","0.0","1.0","1.0","650.0","","1993.0"
15076699,"1 Daniel Burnham Ct APT 1202, San Francisco, CA","12/1/15","0.795","0.0","1.0","1.0","772.0","","1988.0"
15076711,"1 Daniel Burnham Ct APT 1404, San Francisco, CA","12/11/15","0.975","0.0","2.0","2.0","1009.0","","1988.0"
15076978,"66 Cleary Ct APT 1408, San Francisco, CA","12/21/15","0.895","0.0","2.0","2.0","1106.0","","1963.0"
15077111,"1200 Gough St APT 22B, San Francisco, CA","1/29/16","0.65","1.0","","1.0","550.0","","1966.0"
15077403,"1310 Scott St # 40, San Francisco, CA","12/23/15","0.958","0.0","3.0","2.0","1270.0","","1986.0"
15077572,"601 Van Ness Ave APT 48, San Francisco, CA","11/30/15","0.83","0.0","2.0","2.0","1090.0","","1982.0"
15077602,"601 Van Ness Ave APT 78, San Francisco, CA","12/18/15","0.81","0.0","2.0","2.0","952.0","","1982.0"
15077705,"601 Van Ness Ave APT 605, San Francisco, CA","12/1/15","0.825","0.0","2.0","2.0","1072.0","","1982.0"
15077725,"601 Van Ness Ave APT 201, San Francisco, CA","1/5/16","0.555","0.0","1.0","1.0","750.0","","1982.0"
15077902,"601 Van Ness Ave APT 944, San Francisco, CA","12/10/15","0.6","0.0","1.0","1.0","894.0","","1982.0"
15077929,"601 Van Ness Ave APT 405, San Francisco, CA","12/4/15","0.825","0.0","2.0","2.0","881.0","","1982.0"
15078419,"301 Gough St APT 3, San Francisco, CA","12/4/15","0.81","0.0","1.0","1.0","626.0","","1999.0"
15078423,"301 Gough St # G, San Francisco, CA","11/10/15","1.15","0.0","","","936.0","",""
15078434,"412-414 Linden St, San Francisco, CA","12/16/15","0.835","0.0","4.0","2.0","2200.0","1297.0","1909.0"
15078460,"622-626 Buchanan St, San Francisco, CA","11/12/15","1.25","0.0","","","2785.0","1637.0","1900.0"
15078536,"640 Steiner St, San Francisco, CA","12/15/15","1.5","0.0","2.0","2.0","1593.0","","1895.0"
15078815,"545-547 Oak St, San Francisco, CA","12/23/15","1.77","0.0","5.0","3.0","2610.0","3297.0","1900.0"
15078866,"753-755 Oak St, San Francisco, CA","11/10/15","0.375","0.0","","2.0","2430.0","3781.0","1890.0"
15078940,"706 Haight St, San Francisco, CA","11/10/15","1.68","0.0","2.0","2.0","1463.0","","1997.0"
15078953,"789-793 Page St, San Francisco, CA","11/25/15","1.7","0.0","6.0","3.0","3825.0","2247.0","1911.0"
15079164,"544 Waller St # 1, San Francisco, CA","12/15/15","1.9","0.0","3.0","3.0","860.0","","1983.0"
15079269,"591-595 Waller St, San Francisco, CA","12/2/15","1.23","0.0","","7.0","7240.0","2696.0","1900.0"
15079279,"101-105 Steiner St, San Francisco, CA","12/9/15","2.7","0.0","","3.0","6726.0","2735.0","1900.0"
15079314,"457-461 Waller St, San Francisco, CA","12/22/15","1.55","1.0","","","3750.0","3000.0","1900.0"
15079585,"3835 Scott St APT 105, San Francisco, CA","12/22/15","1.12","0.0","1.0","1.0","1118.0","","1928.0"
15079836,"2146 Bay St, San Francisco, CA","11/25/15","7.1","0.0","2.0","4.5","1500.0","3436.0","1925.0"
15080238,"2646-2648 Greenwich St, San Francisco, CA","12/4/15","5.15","0.0","","2.0","2692.0","3436.0","1911.0"
15080315,"2953 Broderick St, San Francisco, CA","12/18/15","3.0","0.0","2.0","2.5","1876.0","1637.0","1923.0"
15080609,"2769 Union St, San Francisco, CA","12/1/15","3.13","0.0","3.0","2.0","2800.0","","1984.0"
15080826,"2780 Broadway St, San Francisco, CA","11/25/15","17.1","0.0","5.0","6.0","6800.0","3460.0","1962.0"
15080894,"2950 Pacific Ave, San Francisco, CA","11/25/15","16.0","0.0","7.0","6.5","11500.0","12196.8","1907.0"
15081067,"46 Presidio Ave, San Francisco, CA","11/25/15","3.9","0.0","4.0","3.5","2750.0","2705.0","1916.0"
15081147,"2955 Pacific Ave, San Francisco, CA","11/16/15","3.65","0.0","3.0","2.0","2160.0","","1995.0"
15081160,"2820 Jackson St, San Francisco, CA","12/14/15","4.0","0.0","5.0","3.5","3212.0","3000.0","1900.0"
15081273,"2801 Jackson St # 12, San Francisco, CA","12/24/15","1.42","0.0","2.0","1.0","1330.0","","1906.0"
15081334,"2947 Jackson St, San Francisco, CA","11/30/15","1.87","0.0","3.0","2.0","2100.0","","1939.0"
15081395,"3100 Washington St #6, San Francisco, CA","12/22/15","0.825","0.0","1.0","1.0","808.0","","1964.0"
15081736,"3515 Washington St, San Francisco, CA","12/2/15","3.8","0.0","2.0","3.0","2760.0","4464.0","1941.0"
15081960,"2921 Washington St APT 5, San Francisco, CA","11/23/15","1.0","0.0","1.0","1.0","1070.0","","1916.0"
15082108,"3016 Sacramento St, San Francisco, CA","12/22/15","1.85","0.0","2.0","1.5","1408.0","","1890.0"
15082200,"333 Presidio Ave APT 4, San Francisco, CA","12/9/15","0.738","0.0","1.0","1.0","770.0","","1907.0"
15082795,"25-29 Parker Ave #27, San Francisco, CA","11/19/15","1.07","0.0","2.0","2.0","1092.0","","1909.0"
15083161,"1825 Scott St, San Francisco, CA","11/23/15","32.7","0.0","","1.0","1100.0","1694.0","1900.0"
15084143,"270 Ewing Ter, San Francisco, CA","11/20/15","1.57","0.0","2.0","1.0","1250.0","2178.0","1940.0"
15084385,"1213 Scott St, San Francisco, CA","11/25/15","1.5","0.0","3.0","1.5","1439.0","","1900.0"
15084557,"26 Rossi Ave, San Francisco, CA","12/31/15","0.259","0.0","7.0","3.0","4361.0","3428.0","1941.0"
15084949,"1912 Golden Gate Ave, San Francisco, CA","11/16/15","1.77","0.0","3.0","2.0","1154.0","3436.0","1900.0"
15084954,"1954 Golden Gate Ave, San Francisco, CA","11/24/15","1.1","0.0","2.0","1.0","1515.0","","1895.0"
15085630,"650-652 Broderick St, San Francisco, CA","12/30/15","1.8","0.0","8.0","2.0","3350.0","2809.0","1907.0"
15085696,"532-534 Lyon St, San Francisco, CA","11/25/15","4.5","0.0","","2.0","2696.0","3044.0","1904.0"
15085726,"1667C-1667B Fulton St, San Francisco, CA","1/21/16","0.822","0.0","","2.0","1750.0","1437.0","1908.0"
15086718,"1260 Haight St APT 5, San Francisco, CA","12/3/15","1.05","0.0","2.0","1.0","1082.0","3438.0","1928.0"
15086964,"1576 Waller St, San Francisco, CA","1/8/16","1.5","0.0","3.0","1.0","1668.0","","1900.0"
15087483,"721 Frederick St, San Francisco, CA","12/24/15","0.725","0.0","1.0","1.0","590.0","","1990.0"
15087641,"805-807 Clayton St, San Francisco, CA","12/15/15","2.55","0.0","","","2950.0","2495.0","1910.0"
15087654,"814 Cole St, San Francisco, CA","12/17/15","1.77","0.0","5.0","2.0","3000.0","2687.0","1906.0"
15087801,"978 Clayton St, San Francisco, CA","12/1/15","1.8","0.0","2.0","1.0","1585.0","","1924.0"
15088159,"1043-1045 Clayton St, San Francisco, CA","12/22/15","1.21","0.0","","4.0","5736.0","","1974.0"
15088460,"4855-4857 17TH St, San Francisco, CA","12/31/15","0.85","0.0","","2.0","2310.0","3009.0","1926.0"
15088722,"520 El Camino Del Mar, San Francisco, CA","12/31/15","6.1","0.0","6.0","5.5","4840.0","6926.0","1926.0"
15088769,"80 Mclaren Ave, San Francisco, CA","11/25/15","11.6","0.0","4.0","5.0","6473.0","9628.0","1924.0"
15089097,"78 22nd Ave, San Francisco, CA","12/23/15","4.3","0.0","4.0","4.5","4017.0","3001.0","1907.0"
15089098,"22 22nd Ave, San Francisco, CA","11/17/15","4.97","0.0","5.0","5.0","5610.0","13939.2","1926.0"
15090454,"286 27th Ave, San Francisco, CA","11/13/15","0.95","0.0","2.0","1.0","1367.0","","1924.0"
15090770,"2730-2732 Clement St, San Francisco, CA","12/4/15","1.2","0.0","4.0","2.0","3040.0","2538.0","1924.0"
15090783,"326 29th Ave, San Francisco, CA","11/25/15","1.5","0.0","3.0","1.0","1675.0","3049.0","1910.0"
15090866,"323-325 25TH Ave, San Francisco, CA","11/17/15","1.44","0.0","2.0","1.0","3130.0","2996.0","1923.0"
15091143,"262-264 17TH Ave, San Francisco, CA","11/19/15","1.62","0.0","2.0","1.0","3410.0","3000.0","1916.0"
15091950,"333-337 20TH Ave, San Francisco, CA","11/18/15","1.75","0.0","4.0","","2600.0","3000.0","1907.0"
15092065,"455 25th Ave APT 2, San Francisco, CA","1/21/16","1.04","0.0","3.0","2.0","1287.0","","1996.0"
15092455,"3535 Clement St, San Francisco, CA","12/8/15","1.83","0.0","4.0","3.0","2500.0","3886.0","1919.0"
15092620,"3945 Clement St, San Francisco, CA","12/10/15","1.7","0.0","3.0","2.5","2209.0","2500.0","1930.0"
15092835,"149 Seal Rock Dr, San Francisco, CA","11/24/15","0.7","0.0","2.0","1.0","1275.0","2500.0","1941.0"
15093047,"554 46th Ave, San Francisco, CA","1/12/16","0.665","0.0","2.0","1.0","830.0","644.0","1900.0"
15093075,"539 44th Ave, San Francisco, CA","12/17/15","0.9985","0.0","2.0","1.0","1290.0","3000.0","1922.0"
15093237,"586-588 42ND Ave, San Francisco, CA","12/24/15","0.74","0.0","2.0","1.0","864.0","1438.0","1945.0"
15093645,"505-507 32ND Ave, San Francisco, CA","12/18/15","1.47","0.0","","4.0","2376.0","1437.0","1958.0"
15093664,"591 29th Ave, San Francisco, CA","11/20/15","1.75","0.0","3.0","2.5","1800.0","1875.0","1936.0"
15093745,"591 27th Ave, San Francisco, CA","12/31/15","0.897","0.0","2.0","1.0","900.0","1760.0","1915.0"
15093965,"2920 Anza St, San Francisco, CA","12/23/15","0.31","0.0","4.0","2.0","2102.0","2666.0","1920.0"
15094244,"470 12th Ave, San Francisco, CA","12/10/15","1.48","0.0","2.0","1.5","1630.0","","1931.0"
15094520,"3701 Geary Blvd # 304, San Francisco, CA","12/15/15","0.7855","0.0","2.0","2.0","1214.0","8250.0","1986.0"
15094548,"528 2nd Ave, San Francisco, CA","11/25/15","1.45","1.0","","","2810.0","3049.0","1906.0"
15094694,"539 5th Ave, San Francisco, CA","12/9/15","1.24","0.0","","1.0","925.0","3000.0","1907.0"
15094710,"570-572 6TH Ave, San Francisco, CA","11/13/15","1.7","0.0","3.0","","2750.0","3000.0","1906.0"
15095208,"574 18th Ave, San Francisco, CA","12/3/15","1.83","0.0","3.0","1.5","2050.0","3000.0","1916.0"
15095382,"559 21st Ave, San Francisco, CA","12/16/15","1.25","0.0","2.0","1.0","1400.0","3001.0","1918.0"
15095541,"3321 Anza St, San Francisco, CA","12/31/15","2.27","0.0","8.0","6.0","4729.0","2430.0","1905.0"
15095745,"654 30th Ave, San Francisco, CA","11/25/15","1.58","0.0","3.0","1.5","1900.0","3049.0","1927.0"
15095966,"699 36th Ave APT 408, San Francisco, CA","12/15/15","0.925","0.0","3.0","3.0","1639.0","1742.0","1997.0"
15096484,"716 Great Hwy # 1, San Francisco, CA","12/16/15","0.912","0.0","3.0","2.0","1600.0","","1990.0"
15096544,"783 La Playa St # 2, San Francisco, CA","12/14/15","0.535","0.0","1.0","1.0","667.0","","1991.0"
15096577,"739 48th Ave, San Francisco, CA","1/5/16","0.945","0.0","","2.0","1368.0","3000.0","1957.0"
15096806,"744 44th Ave, San Francisco, CA","11/10/15","1.23","0.0","4.0","3.0","2380.0","4199.0","1926.0"
15097178,"760 35th Ave, San Francisco, CA","12/1/15","1.81","0.0","8.0","5.0","3905.0","3598.0","1965.0"
15097633,"623 23rd Ave, San Francisco, CA","12/1/15","0.955","0.0","2.0","1.0","1085.0","2770.0","1920.0"
15097709,"668 23rd Ave, San Francisco, CA","11/25/15","1.12","0.0","","1.0","1325.0","2996.0","1922.0"
15098770,"790 7th Ave APT 104, San Francisco, CA","12/22/15","0.6","0.0","2.0","1.0","560.0","","1981.0"
15099387,"735 22nd Ave, San Francisco, CA","12/14/15","0.005995","0.0","4.0","2.0","1800.0","2996.0","1921.0"
15099711,"886 30th Ave, San Francisco, CA","11/12/15","1.38","0.0","2.0","3.0","1990.0","2375.0","1929.0"
15100149,"806 39th Ave, San Francisco, CA","11/20/15","1.05","0.0","","1.0","1375.0","2374.0","1926.0"
15100309,"801 42nd Ave, San Francisco, CA","12/18/15","1.46","0.0","3.0","3.0","2730.0","2250.0","1923.0"
15100665,"855 La Playa St APT 360, San Francisco, CA","1/20/16","0.75","0.0","2.0","2.0","1193.0","","1982.0"
15100990,"4220 Irving St, San Francisco, CA","1/21/16","1.15","0.0","3.0","2.0","1675.0","2495.0","1950.0"
15101068,"1223 41st Ave, San Francisco, CA","11/25/15","1.1","0.0","3.0","2.0","1771.0","2996.0","1938.0"
15101712,"1216 28th Ave, San Francisco, CA","11/18/15","2.02","0.0","5.0","2.5","2666.0","4791.0","1924.0"
15101817,"1246 25th Ave, San Francisco, CA","12/31/15","1.16","0.0","2.0","2.0","1760.0","3000.0","1940.0"
15101927,"1271 21st Ave, San Francisco, CA","1/4/16","1.85","1.0","","","3170.0","3001.0","1983.0"
15101998,"1259 18th Ave, San Francisco, CA","11/24/15","1.5","0.0","3.0","3.0","2236.0","3049.0","1924.0"
15102413,"1251 2nd Ave, San Francisco, CA","12/17/15","1.6","0.0","","3.0","4480.0","2108.0","1908.0"
15102663,"1337-1339 8TH Ave, San Francisco, CA","12/15/15","0.78","0.0","","3.0","1800.0","2996.0","1912.0"
15102698,"1310 10th Ave, San Francisco, CA","11/24/15","1.83","0.0","3.0","3.0","1880.0","2374.0","1908.0"
15102704,"1351 10th Ave, San Francisco, CA","11/13/15","1.67","0.0","2.0","1.0","1152.0","2996.0","1940.0"
15102806,"1300 Funston Ave, San Francisco, CA","12/11/15","1.15","0.0","","2.0","1050.0","1438.0","1941.0"
15102829,"1387 14th Ave, San Francisco, CA","1/4/16","1.66","0.0","4.0","2.0","1926.0","2495.0","1931.0"
15103364,"1383 29th Ave, San Francisco, CA","12/17/15","1.18","0.0","4.0","2.0","1475.0","2500.0","1941.0"
15103435,"1343 31st Ave, San Francisco, CA","12/18/15","1.25","0.0","3.0","2.0","1886.0","3000.0","1934.0"
15103440,"1363 31st Ave, San Francisco, CA","11/10/15","1.13","0.0","3.0","2.0","1822.0","3000.0","1940.0"
15103467,"1300-1302 32ND Ave, San Francisco, CA","11/11/15","1.13","0.0","","","1680.0","2375.0","1944.0"
15103472,"3015-3017 Irving St, San Francisco, CA","12/2/15","1.04","0.0","","2.0","2300.0","2495.0","1948.0"
15103550,"1394-1396 34TH Ave, San Francisco, CA","12/18/15","1.24","0.0","","2.0","2024.0","1437.0","1946.0"
15103602,"1394-1396 35TH Ave, San Francisco, CA","12/8/15","1.08","0.0","","2.0","1700.0","1738.0","1944.0"
15104164,"1440 La Playa St, San Francisco, CA","12/18/15","1.3","0.0","3.0","2.0","1313.0","2996.0","1900.0"
15104379,"1466 44th Ave, San Francisco, CA","11/20/15","0.892","0.0","2.0","1.0","1130.0","3049.0","1926.0"
15104496,"1422 42nd Ave, San Francisco, CA","11/20/15","1.22","0.0","3.0","1.0","1325.0","2996.0","1951.0"
15104676,"1475 37th Ave, San Francisco, CA","12/7/15","1.14","0.0","2.0","1.5","1713.0","3049.0","1937.0"
15104925,"1459 31st Ave, San Francisco, CA","11/18/15","1.29","0.0","4.0","2.0","2281.0","3001.0","1937.0"
15105121,"2338 Kirkham St, San Francisco, CA","11/25/15","0.9","0.0","2.0","2.5","1305.0","2613.0","1946.0"
15105664,"1444 17th Ave # 101, San Francisco, CA","2/8/16","1.6","0.0","3.0","3.0","1902.0","","1996.0"
15106658,"1527 18th Ave, San Francisco, CA","12/4/15","1.48","0.0","4.0","3.5","2125.0","2996.0","1930.0"
15106778,"1555 21st Ave, San Francisco, CA","12/17/15","1.1","0.0","2.0","2.0","1204.0","3049.0","1926.0"
15107313,"1551 32nd Ave, San Francisco, CA","12/15/15","0.3125","0.0","2.0","1.0","1300.0","2996.0","1937.0"
15107396,"1518 34th Ave, San Francisco, CA","12/9/15","1.35","0.0","3.0","3.0","1375.0","3049.0","1935.0"
15107419,"1573 34th Ave, San Francisco, CA","11/19/15","1.62","0.0","3.0","2.0","2400.0","3300.0","1933.0"
15107430,"1578 35th Ave, San Francisco, CA","12/4/15","0.675","0.0","","2.0","2301.0","3267.0","1932.0"
15107765,"1587 43rd Ave, San Francisco, CA","12/29/15","0.994","0.0","3.0","4.0","2165.0","2374.0","1936.0"
15107784,"1534 44th Ave, San Francisco, CA","11/13/15","1.28","0.0","3.0","3.0","1325.0","3000.0","1936.0"
15107837,"1526 45th Ave, San Francisco, CA","12/14/15","0.925","0.0","2.0","2.0","1350.0","3000.0","1916.0"
15108109,"4116-4118 Moraga St, San Francisco, CA","12/30/15","0.655","0.0","4.0","","1460.0","3049.0","1910.0"
15108159,"4036 Moraga St, San Francisco, CA","12/30/15","0.75","0.0","2.0","1.0","850.0","2495.0","1941.0"
15108650,"1618 38th Ave, San Francisco, CA","12/3/15","1.2","0.0","3.0","1.0","1775.0","3001.0","1941.0"
15108727,"1667 34th Ave, San Francisco, CA","12/24/15","1.05","0.0","2.0","1.0","1350.0","3049.0","1940.0"
15108819,"2601 Lawton St, San Francisco, CA","12/18/15","1.25","0.0","3.0","1.0","1450.0","2178.0","1942.0"
15108913,"1626 32nd Ave, San Francisco, CA","1/4/16","1.43","0.0","4.0","3.0","2100.0","3001.0","1935.0"
15109011,"1630 30th Ave, San Francisco, CA","12/30/15","1.01","0.0","","1.0","1300.0","2996.0","1945.0"
15109410,"1622 21st Ave, San Francisco, CA","12/22/15","0.851","0.0","2.0","1.0","1275.0","3049.0","1936.0"
15110595,"1727 34th Ave, San Francisco, CA","11/23/15","1.33","0.0","3.0","2.0","1845.0","3001.0","1940.0"
15110823,"1727 29th Ave, San Francisco, CA","12/23/15","1.88","0.0","4.0","3.5","2580.0","3001.0","1939.0"
15111172,"1750 23rd Ave, San Francisco, CA","12/15/15","1.16","0.0","3.0","3.0","2028.0","3000.0","1949.0"
15111486,"1700 14th Ave, San Francisco, CA","12/18/15","0.76","0.0","3.0","3.0","1756.0","2078.0","1978.0"
15111533,"1732-1734 Funston Ave, San Francisco, CA","12/2/15","1.65","0.0","","2.0","2524.0","2996.0","1954.0"
15111559,"1755 11th Ave, San Francisco, CA","12/2/15","1.0","0.0","2.0","1.5","1250.0","3000.0","1924.0"
15111575,"1706 12th Ave, San Francisco, CA","12/16/15","1.5","0.0","4.0","2.0","1861.0","2021.0","1938.0"
15111695,"124 Noriega St, San Francisco, CA","12/10/15","1.26","0.0","3.0","2.0","1484.0","2500.0","1941.0"
15111963,"870 Pacheco St, San Francisco, CA","12/10/15","1.58","0.0","3.0","4.0","1983.0","3798.0","1940.0"
