date,id,author,title,body,star_rating
2017-02-17,R1GBMI564DYRPS,Susanne Caputo  + Mike Caputo,So very dismayed and disappointed that J K Rowling wrote this  piece of trash. Having read her masterpiece of the Harry Potter s,"Another well written story. I was literally shocked at the language and plot. It was definitely below her abilities and she should never write a trashy story again. Shame on everyone connected with The Casual Vacancy. Please Miss Rowling, don't lower your standards and tarnish your reputation justly earned by th Potter creation.",1.0
2017-02-11,R3LM52TJTWNXBC,S. Martin,Drags on forever and predictable ...,It took me forever to get through this 500 page book...and that is VERY unusal for me.  It drags on and on and on.  Its extremely predictable  and contrived.  The last 100 pages are good.  This is absolutely NOTHING like Rowlings other books.,1.0
2017-02-11,R67S6S6PN4AIM,Bill Blue,To say it was a great read it's kind of stupid that's the way I ...,To say it was a great read it's kind of stupid that's the way I feel these days so that's what you get I loved it,4.0
2017-02-09,R3IHXOVXOPUHIS,Claire,Miserable little book about miserable people who want everyone else to be as miserable as they are.,"Bought this for cheap at a library book sale, in perfect condition - now I know why. This book is as bad as Hubert Selby's Requiem for a Dream - it's a story about people who hate themselves, hate their lives, hate each other, and hate the world. There is no happy ending, no redemption, no climactic point at which the purpose behind the horribly miserable lives of the characters is made clear. Instead, it's page after page of sullen children, bitter parents, angry neighbors, and people who want to make everyone else as miserable as they are so they'll feel a bit better about being miserable themselves.",1.0
2017-02-09,R1U6FV53ETDP27,emily miller payne,Four Stars,Good book. I recommend it.,4.0
2017-02-04,R10H0NB3Z9M38S,Ms. Piggy,Three Stars,Too depressing,3.0
2017-01-31,R1YHW7OI4XJ39M,Michelle Moore,Five Stars,Love this story!,5.0
2017-01-28,R2PDQYF2IERZV2,L. Pearsall,Five Stars,Good read.,5.0
2017-01-27,RHOSJ75D6Z19J,Lil Karyn,Five Stars,I enjoy this book as the characters are like real people.,5.0
2017-01-26,RY2J95ZHZNP0A,J. McDonald,You'll Hate Every Character...Period.,"None of the ""magic"" from Rowling's other writings is on display in this book.  None.  Every character in the book is detestable.  You will be hard pressed to really like a single one.  Sure, you may feel sorry for some, especially Robby, but you won't like a single one.  There is no redeeming ending either.  It is as if Rowling tried so hard to NOT write more Harry Potter that she overwrote and made her characters as unlikable as possible.  In the end, you will hate the characters you are supposed to like the most and also hate the characters you are supposed to hate the least.  Don't waste your time with this book if you want any of the writing and character development ""magic"" of the Potter series.  The only thing propping this book up is the name Rowling.",2.0
2017-01-24,R3HO3QIUCL8EEF,Dr. Paula W. Buechler,"so so, not up to Harry Potter standards","A lot of characters to keep track off, somewhat confusing.Story line okay but somewhat contrived and used.",2.0
2017-01-23,RDSWUVZ7VFZQT,Catherine,Five Stars,Good read. To me it ended surprisingly and tragically.,5.0
2017-01-23,R6PC6J854NGMQ,Fesal,One Star,Couldn't finish the book.,1.0
2017-01-21,R2QPUVOST4E3BI,Susan Greenberg,NOT GOOD,"I could not even finish this book.  It was boring and the characters were not engaging.  After a few chapters giving it a chance, I decided it was of no value to me to plow through it.  There are plenty of other books to read that are VERY GOOD to waste time on this one.",1.0
2017-01-16,R2KY3O2558R2V4,E. Dennis,Rowling isn't the greatest author out there,"One day someone will realize J. K. Rowling isn't the greatest author out there.  She's got fantastic ideas but her writing style is stilted and rough.  All in all I was disappointed in this book when I had such high hopes.  If you're a fan of her Harry Potter series, don't go into this book thinking you'll get the same brilliance.",1.0
2017-01-15,R10LT0GO1YR4T0,Marie,I've read everything from JK Rowling and am happy I read this too,"I didn't read Harry Potter as a young child. My mom thought magic etc was of the devil so I first read the series as a 16 year old who used her license to go to the library. I was enthralled (and continue to be) by that series. I always meant to read the Casual Vaccancy when it first came out but I was worried it would disappoint me having so loved her HP series. I knew about the bad reviews and maybe that did help that I didn't have the highest sense of anticipation when I actually read the book, but I had read and enjoyed all 3 of her Robert Galbraith novels and I decided it was time to read the Casaul Vaccancy. The premise isn't the most exciting I will give you that - an empty seat on a town council - and the characters and situations sometimes are unpleasant but they are so real and the characters become so real that you start to feel as though you live in Pagford watching all the drama unfold. It somewhat reminded me of Edith Wharton novels which are complicated and sometimes do not have a clear protagonist. The thing I enjoyed about Edith Wharton (I thought of Custom of the Country) and this novel is that despite the sometimes very grim nature of the books they make you FEEL. Books won't always make you feel happy about the outcome or the character but when books make you feel some emotion towards the characters that is job well done to me because that means the characters are developed enough that they become real to the reader.",4.0
2017-01-12,R1834RC1WVB4ZZ,Monica N.,Complex and Smart,"This novel follows the perspective of several people. Inevitably all plots tie together, which emphasizes just how little we know about others. It explores the depths of human emotion and the issues others face beneath the surface. It is brilliantly written. Highly recommend.",5.0
2017-01-08,R3J07UAO8E41BD,nici,"Slow burn, but worth it","This book is very dry and slow for the first 170+ pages or so, and it's a big book. But stick with it. It's really amazing as you get further along. (Trigger warning: there is a sexual assault)",4.0
2017-01-07,R3H9RUOK4HLJXY,The Brit In America,Delightful read at a great price.,Incisive book.,4.0
2017-01-05,R2NSMD4J19IC6H,Dani,but a really brilliant read if you're looking for something that's going to ...,"Definitely not for everyone, but a really brilliant read if you're looking for something that's going to make you feel something---sadness, pity, disgust, contempt. Although this book is for adults, JK Rowling is purposeful and pointed in the way that weaves lessons on compassion, empathy, mindfulness, etc. into her work. Characterization is, in my opinion, one of her strongest aspects as a writer, and it's incredible how she makes these characters so painfully human. She doesn't hold anything back in exploring their flaws, the hypocrisy that they don't even realize they are committing. Despite all of their indiscretions, their petty and at times even cruel ways, very few of them think of themselves as being a bad person, but does anyone ever really?",4.0
2017-01-03,RH5AZ95TP1RLM,Cynthia L. Byron,Four Stars,Lots of Characters and twists and turns.,4.0
2017-01-03,RFBXT3SOGMBF9,Kaylee,Very compelling,"After reading so many self-published books, it was a pure joy to read an Author that competently handles the written word and obviously had editors.  Rowling brings her characters to life with vivid descriptions of their environments and actions.  This book delves into humanity with their petty nastiness to their no so petty evil.  It had some slow spots but once again she grabbed me and made me want to know what was going to happen.  The characters were a basic cross section of any town and not very likeable for the most part, which makes my caring about the outcome of this book remarkable.",4.0
2017-01-02,RYQTDIBLKA079,Jack,Empathy,"I originally chose this book because the author is J.K. Rowling. Having grown up with the Harry Potter series, I was curious as to how this book would go. When I first started the book my initial impression wasn't good.",5.0
2017-01-02,RTYNWDTCTCXLP,AniM,Behind Closed Doors,"A difficult read.  At times it was not easy to continue, but I am not usually a quitter.  Ultimately, I feel pleased that I persisted.  The book forces ""nice people"" to face sordid issues.  It gives a realistic glimpse behind closed doors and one has the sense of having been educated somewhat to lifestyles beyond the normal comprehension.",5.0
2017-01-01,R18XTK95B05R6P,Rachelle,J.K. Rowling fan,I'm a fan of J.K. Rowling's writing style. I find it easy to catch interest and follow along.,5.0
2017-01-01,R105MEGP07PD90,David,"If you have a conscience and a soul, avoid at ANY cost","I couldn't even get past the prologue on my sample. I deleted it. The prologue alone is filled with disgusting profanity that no one should be subjected to. Avoid this book at any cost, especially if you have a conscience and a soul.",1.0
2017-01-01,R3F8KYNEEPC6E6,Ann Roy,... books I have not finished even if I didn't like them but this one,"I could not even finish it and in all my years of being an avid reader only a few books I have not finished even if I didn't like them but this one, no problem putting it down.",1.0
2016-12-31,R3PJMNDNLBDJD,Amazon Customer,One Star,It was bloody awful.,1.0
2016-12-28,R26W2E5Q14HTVL,wannabe writer,Unreadable,"I have vast appreciation for JK Rowling as the author of Harry Potter. I understand she is branching out into contemporary adult literature. She should have stuck with what she was good at. I don't stop reading books very often, but after several days of a good yeoman's try, I couldn't continue. Not only were all the characters dysfunctional and detestable, but the plot was jumpy with poor character development and confusion between so many personages. I'm sure there are wretched places to live in the countryside of England and perhaps this needs to be documented, but this is not what I signed up for in reading entertainment.",1.0
2016-12-22,R2S8B9LEWTA0RH,Amazon Customer,Two Stars,Expected a more exciting novel!!!,2.0
2016-12-22,R2KD2NFQT7H1TN,sawaboof,Regular People Living Regular Lives,"This took me a while to read. It is incredibly long. The story alternates between characters, their current life, their inner dialogues, and how they are connected to one another. I kept reading it because I was invested in some characters. Some characters I didn't care for, some I wanted to learn more about, some I felt didn't have much of a point. Just regular people living regular lives. I finished the book not knowing if it was too long or not long enough.",3.0
2016-12-22,R22EC3T8469O9G,LJB,Good book for a book club where more than one ...,"This JK Rawlings book has nothing to compare it to as all her other books were written for adults. She draws characters very well. She reminds me of Mauve Binchy who also draws characters very well. It has clever twists in the story. The Ghost writer is well done.  Good book for a book club where more than one opinion can be voiced, and where the entire book can be discussed. Great use of a communities understanding of its people and the real truth of what goes on behind closed doors. You definitely get the picture that JKR has experienced, seen or observed a real community, with all its veneer and its cover ups.",4.0
2016-12-19,R1155X0P0ICMXQ,Cillairne@aol.com,"Touching, insightful, thought-provoking.","J.K. Rowling IS an author!!  Harry Potter, Cormoran Strike and this.  What range!  She is becoming one of my favorites.  Always an adventure when you read one of her novels.",5.0
2016-12-18,R1DSZ3ZECH2J2R,JRE,Depressing and dark,This book is depressing and dark. Every character is in some sort of pain with the end being something so horrific and ridiculous at the same time. Parts of it were so dramatic (like a soap opera) I had to skip paragraphs.,1.0
2016-12-18,R3CVZK3L3RDKJM,Amazon Customer,Four Stars,Interesting and enjoyable read,4.0
2016-12-17,R35F61C2ZLNLL,Joy Anderson,:/,"I loved Harry Potter, but after finishing this book I'll be crying myself to sleep tonight. It was good, but not what I was expecting.",4.0
2016-12-17,R24UTOUMBBZUC9,gatrsu,One Star,Not what I expected from Ms. Rowling.,1.0
2016-12-15,R1QRFKUH7IJM15,Mel,Blah,Nothing very exciting.  So different from harry Potter books.,3.0
2016-12-14,R1COL98FBSV13S,kidd3,Great book,"I don't understand why people are giving this book so few stars. There are many characters and it is hard to follow in the beginning, but once you get the plot lines and the characters down the book is a fantastic read!  I loved how the characters whom you surmised in the beginning were horrid and those you pegged to be good were not at all what they seemed. How the characters affected each other's lives without even knowing it was a wonderful touch. I loved it.",5.0
2016-12-13,RHB0LJXJYCTOW,Just Me,Disappointing,Ms. Rowling writes much too well to give us this. It is not necessary to resort to gutter language in order to set a tone or a scene unless she is afraid her readers are too unintelligent to understand her message. Even then I think she could have found a few more people with a few good characteristics among the inhabitants. They needn't have all been so lacking in goodness and courage in order to make her point.,2.0
2016-12-13,R1HAF043UCVPFQ,blah,This book is amazing! An absolute work of art,This book is amazing! An absolute work of art! I can't remember the last time I enjoyed a book so much..great story line..great characters that you really learn to love..and I love her wicked since of humor!,5.0
2016-12-13,R3DU98YWBH6FH7,KD,I'd Like Those Hours of My Life Back,"I have absolutely no idea why it took 639 pages to tell this story. I have no idea why almost every character who had children felt the need to berate and verbally abuse them when speaking to them. It was an uncomfortable and depressing book to slog my way through. I picked it up because the Washington Post said, ""Genuinely moving....There were sentences I underlined for the sheer purpose of figuring out how English words could be combined so delightfully."" I can't figure out what they were talking about. There was only one delightful sentence in the whole book.",1.0
2016-12-13,R2JNDGBXF3DCJ,Courtney,It was good,"I really enjoyed this book, even though I am very used to j.k. Rowling Harry Potters series , I still enjoyed this book.",4.0
2016-12-12,R135KYS6BTT80,Hassan Moses,Masterful.,"This book isn't for everyone, that's why the ratings are all over the place! It takes a few chapters to see where the book is going, but once you see....wow! This book will haunt you and force you to examine your own conscience.",5.0
2016-12-11,R3SH1N77GNTD9K,Stefi,Great read,Very moving story. Great effortless writing which makes the book a page turner. Would recommend to others who enjoy escapism,5.0
2016-12-11,RVOEQK3JK4LY2,Amazon Customer,Great book! Does not disappoint,Great book!  Does not disappoint.  Wonderful characters.,5.0
2016-12-11,RCU7OTNRDJBOS,Priscilla Seaton,Disturbing in its accurate reflection of human nature,A very absorbing book. Not at all what I expected. In a very entertaining way she reveals the basic weaknesses of all the characters.,4.0
2016-12-10,R257OLQTPXYQ82,Judi,Superb,"Lives intertwined, humor,sadness, superior storytelling.  Rowling at her finest. A great read and an unforgettable story. Certainly delivers a punch.",5.0
2016-12-10,R1LNKO30KAXCUM,Roberta L. Sherrill,One Star,Disappointing..... finally quit reading it.  Surprisingly sophomoric.... expected much more.,1.0
2016-12-09,R1JUWFGFT04754,mk,Four Stars,"A worthwhile read, a complex read that requires full attention. Characters become all but actually alive. Engaging throughout.",4.0
2016-12-04,R3K1SNJFAHM6LV,andrea savage,Five Stars,this is probably one of the best stories I have ever read,5.0
2016-12-02,RNJBR28RZP2MI,Kacy,Different from other JK Rowling Books,"Compared to most JKR books, this book had better character depth, and a less compelling plot.",2.0
2016-12-01,R3PZ1ZXXE4S2AI,R A. C,Five Stars,Good Read,5.0
2016-11-29,R132B79KU3ONPD,Catherine Dickson,I wouldn't recommend to friends or family that prefer shorter,"I feel as though JK Rowling was trying a bit too hard while narrating from a dozen different characters' points of view. It was ok and picked up near the end. However, I wouldn't recommend to friends or family that prefer shorter, easier reads.",4.0
2016-11-27,R3080QRHWH6U7Y,More Art,"too many other good ""reads"" out there. Don't waste your time or your eyestight.","Very slow reading and depressing. The book does not seem to go anywhere. Every time I pick it up, I think it is going to develop into something, and it never does. Too long a book, for so little a subject. Too many characters, for no reason, whatsoever. They add nothing to the storyline. I am used to a book I just cannot put down. This one is easy to put down and hard to pick back up. The characters are all disturbed and unlikeable, but this is only one problem. Filling a vacancy, is just not enough of a story line. Too many really good reads out there. Don't waste your time.",3.0
2016-11-23,R1B1LGIRZ3D9DI,Bon,I find myself rereading some spots to better understand what I read,It is a little hard to read.  I find myself rereading some spots to better understand what I read.  Lots of words.,4.0
2016-11-21,R3MIJSLI9Q452S,Susan F. Rakoczy,Bring back Harry Potter,500 pages is much too long. The teenage boys are very one dimensional characters.  The writing was stronger towards the end.,3.0
2016-11-20,R1FZFRW2JJFKQD,Amazon Customer,Starts slow,"Starts slow and ends abruptly.  But it does a nice e job of interweaving the complexities of ordinary life into a meaningful story about love, life, and death...though all in unexpected ways.",3.0
2016-11-17,R1ZQPAYONFLA7U,Yolanda L. Salazar,Interesting People,"It was interesting reading about all these different families, so different, yet so similar - all so unhappy and how the deaths of two people whom they were not interested in brought their lives around to normalcy.",5.0
2016-11-14,R1AHY6P5ROVEQP,caitlin spilker,A Masterpiece,"This has been easily been the most raw, gut twisting, ear pounding, heart wrenching books that I have ever read. My never ending applause go out once again to J.K. Rowling for her brilliant mind and incomparable writing prowess. She has left another book in depths of my heart.",5.0
2016-11-11,R2TTDANXLOC0W,JOHN A. BROUSSARD,Not for everyone,"This is more a comment on the comments than a review of the book.  If you're one of those unusual persons who read and found Dante's Inferno interesting, intriguing, albeit depressing, than read this novel at your own risk.  THE CASUAL VACANCY is superbly written, and absolutely fascinating.",5.0
2016-11-09,R1QSINUI2SR5OA,harshman2b,Five Stars,great book so far...  still reading it,5.0
2016-11-09,R2ZTF2RMG87M65,Hello,"Very Different for HP Fans, but Solid On its Own","To be completely honest, this sort of slice-of-life story isn't a genre I tend to enjoy, and I doubt I would have picked it up was I not already familiar with the author.  Kudos where kudos is good - J.K. Rowling has an almost chameleon-like ability to completely change her style for the new genre, and people who enjoy these stories about interconnected small-town people will probably enjoy this story as well, but I doubt I'd read another non-Harry Potter Rowling book.",4.0
2016-11-06,R3360ORDHCWN2F,Robin Foster,The Casual Vacancy is not my cup of tea.,Much ado about class and socio-economic prejudice in a small English town. Learned several English expressions and names for our Americanized culture.,3.0
2016-11-06,R10CQ4XZF81F1C,Amazon Customer,loved it and would recommend,"Took a while to get into this book, but once I did I couldn't put it down, loved it and would recommend, well done JK Rowling.",5.0
2016-10-27,RJ5AEG9L1QKLN,Susan Miller,It wasn't as good as the books J,"It wasn't as good as the books J.K. Rowling wrote under the pen name Robert Galbraith so it was disappointing.  Although many characters endings were established, some were not as though a sequel would be forthcoming and I would guess that it is not the case.  It dragged a lot while I waited for something to happen and when it did, it was pretty anti-climatic.  I wanted to get caught up in the drama, but found it tawdry.  I will wait to read this author again until she writes another novel under the pen name Robert Galbraith.",3.0
2016-10-27,R34OMXF84EFZCB,Brittany Riley,but I actually enjoyed that aspect of it,Do not enter this book thinking you will find Harry Potter. There. We got out of the way.,5.0
2016-10-26,R2IOC5WYLBQVU4,Barbara L. Hammonds,"Not a ""feel good"" read, but thought provoking.","I would love to be able to assign two ratings to this book, one for writing and one for ""enjoyment.""  So I am settling for the middle rating as an average of the two opinions.  Any who have read one or more of the Harry Potter books knows that Rowling is expert at drawing finely developed characters, setting almost tangible scenes, and bringing the reader (in my case the listener, as I ""read"" this on audio CD) up close and personal with the characters.  As the book progresses, one feels increasingly drawn into the lives of the many characters. The author skillfully interweaves their lives in the most natural of ways.  The actor who read the audio version of this book was superb ... his vocal representations of the characters were so consistent that after a relatively short time, when a character was speaking, the  narrative didn't need to tell you who it was - the actor's voice made it very clear.  So for writing skills, this book would receive 4 stars from me.",3.0
2016-10-24,RSTSA1F3NY267,Mikaela Nadeau,"An unexpected love! Some may not like this, but I loved the inherent differences!","This book truly blew me away. It was quite unexpected to be honest, and I entered not really knowing what to expect as this is a gritty adult novel about life. All aspects of life, from marriage, to teenagers, rich and poor. Just as the synopsis stated. (But much better, of course!)",5.0
2016-10-22,R22504ZI717MP5,Kindle Customer,Disappointing,I got through chapter VI before I gave up.  I don't care about these characters or their lives or problems.,3.0
2016-10-22,R2IDRFAOKVG1LU,renemol504,The shadow side of life,"A brilliant book about the shadow side of life. We all have  shadow side in our own life, this book is a mirror for it. No wonder this book has many 1-star ratings, it's hard to be confronted with one's own shadow.",5.0
2016-10-20,RM38R1QZ6CZ1T,Midge,Good book,This was different from her last three mysteries. I enjoyed it but you have to follow it closely because there are so many characters.,4.0
2016-10-20,RPTVODFX4OJ4J,Amazon Customer,OK,"I could never get into it.  This was a book that I Could Put Down, it took effort to finish reading.",3.0
2016-10-20,R32HXGYXB96LU3,widget,Nice,"Pleasantly surprised.  A deft hand at characterization, and flashes of just outstanding prose.  Love them or disdain them, you will be touched in some measure by every character. Thumbs up.",4.0
2016-10-13,RA59HOHGFBL84,Amazon Customer,A different type of book. Not the style you ...,"A different type of book.  Not the style you expect from J.K. Rowling, but interesting nonetheless.  Took awhile to get into the book and keep all the characters straight.",4.0
2016-10-12,RAXGNZ2RU93M2,Laughfingman,Rowling did good enough job that the book was made into a ...,J.K. Rowling did good enough job that the book was made into a movie.,5.0
2016-10-10,R3M0TEHDVY3THJ,Em Miller,Dry as DUST - maybe even drier.,"The ONLY reason I finished reading ""The Casual Vacancy"" is because I purchased it as soon as it came out - i.e., the ""new hardback"" version, and didn't want to have completely wasted my money.  I expected SO much better from this author, but was horribly disappointed.  With any good, enjoyable book, I can stop at most any point & know there will be something exciting to get back to.  In ""The Casual Vacancy"", I had to search the entire book for just one paragraph which called me back to reading.  Sadly, I found none.  My recommendation is - SKIP THIS ONE - entirely.",1.0
2016-10-10,R11O3CFXDU97DF,Seamus Mccormack,Not her best effort,Far too many characters and the whole plot could have been accomplished in far fewer pages.,3.0
2016-10-09,RDCA5WY0PYL43,Amazon Customer,Five Stars,Loved it!,5.0
2016-10-07,R3V1PLA8RYIIDF,Kindle Customer,A cautionary tale that I wish everyone would read.,"This book will haunt me but also will remind me to hold to what is important.  I think the characters are true to life, unfortunately.  The writing was excellent.",5.0
2016-10-07,R18RVJZPNMZ58J,Beth Chaya,"Rowling is a good storyteller, but she takes a while to start ...","I had trouble getting into the book at first but as I read on, the characters started to intrigue me.Rowling is a good storyteller, but she takes a while to start getting to the point of the book. It was a good character study of how one person's death affects a whole village.",4.0
2016-10-03,R30HULHCOFX9VD,Amazon Customer,"Keep it up, Rowling","Shades of ""East of Eden."" I loved it, and I haven't read all the Harry Potter books. I'm suspicious some of the more negative reviews of this work are fans of her previous work, which is all well and good, but to decide that this book in particular is anything short of magnificent is insane. There were no gunfights, just a heads up, but some roller-coasters happen inside you. Highly recommend to avid readers and appreciators of beautifully written, heart breaking, soul altering drama. Keep it up, Rowling. There's a future in this for you.",5.0
2016-10-02,R2OZQ1MRY4R5HH,Susan Krause,Disappointing,Could not get emotionally attached to any for the characters.,1.0
2016-10-02,RTMUIWUQSYOK,CF Brown,Lesson for Americans,This book gives readers a glimpse of class distinctions that are still apparently thriving in Englad. J.K. Row kings' tale is a good lesson for Americans who need to address the inequities in our own society if this country is ever going to overcome the race and class divisions that are antithesis to the American dream and the ideals on which it was founded.,5.0
2016-09-29,R22GARKEPRU2VV,alex,JK Sees Into People as Few Others Can,"Populated by all the people we know and have known throughout our lives, this book is both realistic and frequently laugh out loud funny as she describes the insecurities and secrets of the small but proud village of Pagford Parish. I would highly recommend it.",5.0
2016-09-26,RBBQ58R7QHL4K,Linda W.,Not her best book,"I am a tremendous fan of the Harry Potter series (like a few million other people). I also enjoyed the three Cormoran Strike novels, some more than others. The quality of Ms. Rowlings writing obviously cannot be disputed. However, I am shocked to say that I did not think The Casual Vacancy was very good. There was no clear protagonistunless it was Barry Fairweather, who dies almost immediatelyand no appealing characters. By that, I mean there was no one that I cared about. It was just a long, detailed account of small town backbiting precipitated by the sudden death of a parish councilman. As underlying grudges and illicit relationships came to light, there was no sympathy or understanding evoked in me as the reader.",2.0
2016-09-25,R2X71FJZXFHJ1D,Dora L. Davison,Petty political machinations,"Who would believe that the death of one village councilman would have such an affect on the whole town of Pagford. When Barry Fairbrother dies of an aneurysm, he leaves a casual vacancy on the town council. The council had been deadlocked on two issues whether to keep a low income housing project within Pagford and whether to continue support for the addictions clinic. When an election is run to determine the new council person, posts begin to appear on the town website under the Ghost of Barry Fairbrother identity revealing secrets of candidates and standing members of the council.",4.0
2016-09-25,RQRZXIYGS342Q,ben walker,Good Read,"The author has woven a good tale.  It may be contemporary, but the use of foul language seems rather gratuitous.  But it is still a good read.",5.0
2016-09-23,R1HCAP0UWJ4IFK,Bev,... 3rd chapter but kept reading hoping it would get better. It never did,"I should've quit after the 3rd chapter but kept reading hoping it would get better.  It never did.  Don't waste your time on this book. You'll be happier if you re-read the Harry Potter series.  I gave it two stars because ""hate"" is a strong word.  It takes a lot for me to ""hate"" a book.",2.0
2016-09-22,RKTCV4TXS83HB,Louise E.,Not Harry Potter,"I found this book touching, but a much more difficult read because there were so many characters. The different points of view weren't easygoing to understand until I slogged through a good portion of the book. Worth the read, just a hard trudge.",4.0
2016-09-21,RW9DHA5GLHCF2,Amazon Customer,A gripping tale of a small towns selfish pettiness,"An amusing account on the seemingly innocent gossip and judgements within a small town and the terrible consequences such meanness can render. Funny, sad, shocking, and witty throughout. Rowling cuts to the heart of societies pettiness while making you laugh in shock at the boldness of her truths.",5.0
2016-09-21,R3N5SNT8A9RB3W,Andrea krottner,The Middlemarch of the New Millenium,"The Casual Vacancy, JK Rowlings first post-Harry Potter novel, starts with a man named Barry Fairbrother. Barry lives in a suburban English town called Pagford, where he is an important man, a loving husband, and father of four. He is well-liked among the majority of the towns inhabitants; his circle of friends includes the towns lawyers, head teacher of the local school, the general practitioner, and their families. In addition to this circle of friends, Barry is a mentor to one the towns most troubled youths, Krystal Weedon. His influence even spreads all the way into local politics because Barry is a devoted member of the Parish Council. Barry is well-educated, in good health, and living a full and content life.",5.0
2016-09-19,R5M6SSYJVP5F6,Bruce Corson,"Enjoy the story, learn something as well.","JKR doesn't need my praise of course. The book, however, was a story that just kept pulling me along. And, a side-benefit is that it gave this American a bit more insight into British ways.",5.0
2016-09-18,RUSFQ1RUGA85A,amanda,Five Stars,Very good read,5.0
